# Created by: riboviz
# Date: 2025-10-03 22:28:55.382511
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/collate_tpms.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
ORF	Cerevisiae_RPF
YDR515W	27.2
YDR516C	112.7
YDR517W	70.3
YDR518W	62.7
YDR519W	176.4
YDR520C	8.1
YDR522C	0.1
YDR523C	0.3
YDR524C	12.8
YDR524C-B	3190.1
YDR524W-C	0
YDR525W-A	82.8
YDR527W	36.1
YDR528W	13
YDR529C	198.4
YDR530C	16.1
YDR531W	55.2
YDR532C	12.1
YDR533C	34.8
YDR534C	16.7
YDR536W	0.1
YDR538W	15.7
YDR539W	45.6
YDR540C	5.9
YDR541C	8.6
YDR542W	0
YDR545W	0.5
YEL001C	239.3
YEL002C	201.1
YEL003W	168.8
YEL004W	14
YEL005C	6.7
YEL006W	17.1
YEL007W	48.7
YEL009C	33.4
YEL011W	11.7
YEL012W	34.6
YEL013W	94.1
YEL015W	59.1
YEL016C	8.5
YEL017C-A	1852.1
YEL017W	51.1
YEL018W	25.2
YEL019C	10.1
YEL020C	8.7
YEL020W-A	157.7
YEL021W	0.4
YEL022W	36.8
YEL023C	0.1
YEL024W	84.6
YEL025C	5.1
YEL026W	694.2
YEL027W	1241.4
YEL029C	17.9
YEL030W	1
YEL031W	169.1
YEL032W	36.4
YEL033W	1939.1
YEL034W	3656.7
YEL035C	0
YEL036C	51
YEL037C	219.3
YEL038W	79
YEL039C	22.9
YEL040W	271.7
YEL041W	4.5
YEL042W	138
YEL043W	15.2
YEL044W	85.4
YEL046C	443.7
YEL047C	130.8
YEL048C	37
YEL049W	0.7
YEL050C	33.7
YEL051W	384.4
YEL052W	27.4
YEL053C	13.1
YEL054C	2038.3
YEL055C	71.3
YEL056W	37.6
YEL057C	1.3
YEL058W	96.3
YEL059C-A	13.6
YEL060C	91.2
YEL061C	15.2
YEL062W	8
YEL063C	63.6
YEL064C	7.2
YEL065W	99.8
YEL066W	68.9
YEL067C	1.6
YEL068C	36.8
YEL069C	0.1
YEL070W	1.2
YEL071W	379
YEL072W	3
YEL073C	2.6
YEL075C	0.7
YEL076C	0.3
YEL076C-A	0
YEL077C	0.2
YER001W	47.2
YER002W	169.5
YER003C	329.6
YER004W	142
YER005W	15.7
YER006W	173.8
YER007C-A	251.3
YER007W	6.6
YER008C	20.2
YER009W	729.5
YER010C	30.7
YER011W	115.7
YER012W	281.5
YER013W	12.1
YER014C-A	0
YER014W	22.9
YER015W	1.9
YER016W	49.4
YER017C	25.9
YER018C	21.2
YER019C-A	485.5
YER019W	32.3
YER020W	33.7
YER021W	138.1
YER022W	39
YER023W	421.3
YER024W	1
YER025W	386.6
YER026C	181.7
YER027C	89.4
YER028C	10.4
YER029C	61.2
YER030W	259
YER031C	219.9
YER032W	13.1
YER033C	6
YER034W	42.3
YER035W	57.2
YER036C	352.8
YER037W	27.6
YER038C	4.5
YER038W-A	0.8
YER039C	1.1
YER039C-A	5.6
YER040W	11.6
YER041W	4.3
YER042W	143.4
YER043C	1033
YER044C	93.2
YER044C-A	0.3
YER045C	5.2
YER046W	8.4
YER047C	10.9
YER048C	170.2
YER048W-A	183.3
YER049W	112.1
YER050C	105.5
YER051W	7.7
YER052C	108.7
YER053C	23.1
YER053C-A	25.2
YER054C	1.3
YER055C	341.2
YER056C	204.3
YER056C-A	2277.8
YER057C	318.2
YER058W	36.2
YER059W	26.9
YER060W	10.4
YER060W-A	21.9
YER061C	16.2
YER062C	204.1
YER063W	154.7
YER064C	97.9
YER065C	1.2
YER066W	10.9
YER067W	61
YER068W	53.4
YER069W	14.2
YER070W	214.8
YER071C	47.3
YER072W	1332.6
YER073W	131.5
YER074W	3970.1
YER074W-A	170.3
YER075C	11.1
YER076C	6.5
YER077C	10.4
YER078C	16.1
YER078W-A	22.7
YER079W	35.3
YER080W	89.8
YER081W	19.8
YER082C	61.4
YER083C	93.1
YER084W	1.1
YER085C	0.3
YER086W	140.1
YER087C-B	369.5
YER087W	17.9
YER088C	41.3
YER089C	87.5
YER090W	207.5
YER091C	596.6
YER092W	90.8
YER093C	6.3
YER093C-A	22.8
YER094C	242.9
YER095W	50.2
YER096W	0.9
YER098W	3.9
YER099C	69.1
YER100W	148.2
YER101C	15.3
YER102W	3371.3
YER103W	23.2
YER104W	19.8
YER105C	36.5
YER106W	0.5
YER107C	59.1
YER110C	371.1
YER111C	15.3
YER112W	132.1
YER113C	19.1
YER114C	38.7
YER115C	7.6
YER116C	17.3
YER117W	2790.4
YER118C	56.2
YER119C	30.1
YER120W	538.8
YER121W	3.6
YER122C	165.8
YER123W	29.2
YER124C	144.8
YER125W	115.6
YER126C	198.2
YER127W	61.5
YER128W	15.4
YER129W	8.7
YER130C	24.7
YER131W	1805
YER132C	5.5
YER133W	286.6
YER134C	53.3
YER136W	213.6
YER137C	14.5
YER138W-A	127.7
YER139C	26
YER140W	11.2
YER141W	62.2
YER142C	18.6
YER143W	52.7
YER144C	8.7
YER145C	237
YER146W	223.4
YER147C	9.3
YER148W	169.3
YER149C	22.9
YER150W	16.4
YER151C	55.2
YER152C	34.6
YER153C	21.7
YER154W	30.8
YER155C	33.8
YER156C	138
YER157W	17.5
YER158C	3.8
YER159C	95.9
YER161C	35.4
YER162C	8
YER163C	37.8
YER164W	42.7
YER165W	929.5
YER166W	30.4
YER167W	13
YER168C	38.1
YER169W	11.7
YER170W	25.6
YER171W	22
YER172C	17.3
YER173W	3.9
YER174C	42.2
YER175C	17.3
YER175W-A	0.7
YER176W	24.1
YER177W	1217.2
YER178W	609.6
YER179W	1.6
YER180C	0.2
YER180C-A	128
YER182W	32.7
YER183C	49.8
YER184C	1.3
YER185W	0.7
YER186C	1
YER187W	0.2
YER188C-A	0.3
YER189W	0.6
YER190C-B	0.1
YER190W	0.5
YFL001W	22.9
YFL002C	29.1
YFL003C	0.4
YFL004W	180.2
YFL005W	319.6
YFL007W	30.9
YFL008W	27.3
YFL009W	29.4
YFL010C	425.2
YFL010W-A	0
YFL011W	0.4
YFL012W	1
YFL013C	28.5
YFL014W	68
YFL016C	51.4
YFL017C	61.4
YFL017W-A	117.3
YFL018C	272.2
YFL020C	3.8
YFL021W	17.3
YFL022C	346
YFL023W	31.4
YFL024C	12.1
YFL025C	11.2
YFL026W	257.7
YFL027C	10.5
YFL028C	47.7
YFL029C	20.1
YFL030W	1.1
YFL031W	14.8
YFL033C	7.2
YFL034C-A	384.3
YFL034C-B	41.3
YFL034W	12.9
YFL036W	22
YFL037W	372.8
YFL038C	523.3
YFL039C	2008.6
YFL040W	0
YFL041W	52.7
YFL041W-A	4.9
YFL042C	20.8
YFL044C	49
YFL045C	850.5
YFL046W	38.4
YFL047W	24
YFL048C	120.3
YFL049W	18.7
YFL050C	0.3
YFL051C	0
YFL052W	0.7
YFL053W	0.2
YFL054C	3.3
YFL055W	1
YFL058W	2.4
YFL059W	13.5
YFL060C	2.9
YFL061W	0.4
YFL062W	31.5
YFL064C	0.6
YFL065C	3.2
YFL066C	0.4
YFL067W	0
YFL068W	0
YFR001W	105.6
YFR002W	48.4
YFR003C	89.3
YFR004W	216.4
YFR005C	22.1
YFR006W	97.5
YFR007W	17.7
YFR008W	22.6
YFR009W	157.6
YFR010W	128.6
YFR011C	86.6
YFR012W	0.7
YFR012W-A	0.4
YFR013W	21.2
YFR014C	29
YFR015C	14.6
YFR016C	35
YFR017C	11.8
YFR018C	26.4
YFR019W	9.2
YFR020W	4.4
YFR021W	23.6
YFR022W	2.3
YFR023W	0.4
YFR024C-A	164.9
YFR025C	48.1
YFR026C	0.2
YFR027W	15
YFR028C	42.1
YFR029W	7.7
YFR030W	21.2
YFR031C	9.8
YFR031C-A	2681.7
YFR032C	0.7
YFR032C-A	2675.8
YFR032C-B	3.2
YFR033C	83.3
YFR034C	63.1
YFR035C	32.5
YFR036W	48.9
YFR037C	114.4
YFR038W	16.6
YFR039C	25.1
YFR040W	27.6
YFR041C	44.6
YFR042W	32.5
YFR043C	57.3
YFR044C	358.9
YFR045W	14.4
YFR046C	19.7
YFR047C	109.5
YFR048W	14
YFR049W	135.9
YFR050C	229.2
YFR051C	132.8
YFR052W	175.2
YFR053C	389.4
YFR055W	87.1
YFR057W	0
YGL001C	146.2
YGL002W	33.9
YGL003C	11.2
YGL004C	22.2
YGL005C	25
YGL006W	15.7
YGL006W-A	13.8
YGL007C-A	102.9
YGL008C	2773.7
YGL009C	616.5
YGL010W	16.5
YGL011C	266.5
YGL012W	238.5
YGL013C	17.5
YGL014W	38.1
YGL015C	0.3
YGL016W	30.7
YGL017W	14.3
YGL018C	32.3
YGL019W	105.9
YGL020C	85.2
YGL021W	29.8
YGL022W	112.1
YGL023C	24
YGL025C	26.6
YGL026C	339.8
YGL027C	83.4
YGL028C	148.6
YGL029W	122
YGL030W	2799.8
YGL031C	2924.2
YGL032C	134.3
YGL033W	2.6
YGL035C	40.9
YGL036W	12
YGL037C	388.1
YGL038C	31.3
YGL039W	84.2
YGL040C	160.6
YGL041C-B	0.3
YGL041W-A	53.7
YGL043W	137.6
YGL044C	51.7
YGL045W	5.1
YGL047W	33.9
YGL048C	198.7
YGL049C	63.4
YGL050W	42.3
YGL051W	13.2
YGL053W	27.1
YGL054C	326.5
YGL055W	272.6
YGL056C	48.4
YGL057C	17.2
YGL058W	118.1
YGL059W	5.1
YGL060W	18.7
YGL061C	33.7
YGL062W	124.4
YGL063W	3.7
YGL064C	13
YGL065C	40
YGL066W	26.2
YGL067W	41.7
YGL068W	165.8
YGL070C	134.1
YGL071W	19.2
YGL073W	17.6
YGL075C	9.8
YGL076C	3269
YGL077C	82.2
YGL078C	137.9
YGL079W	22.5
YGL080W	71.7
YGL081W	4.9
YGL082W	51.4
YGL083W	14.6
YGL084C	49.2
YGL085W	6.8
YGL086W	20.4
YGL087C	124.7
YGL089C	1.2
YGL090W	4.9
YGL091C	38.6
YGL092W	45.1
YGL093W	16
YGL094C	11.8
YGL095C	24.8
YGL096W	2.3
YGL097W	119.7
YGL098W	40.3
YGL099W	101
YGL100W	70.3
YGL101W	77.4
YGL103W	4173.6
YGL104C	8.7
YGL105W	654.4
YGL106W	470.6
YGL107C	24.2
YGL108C	52.3
YGL110C	19.3
YGL111W	58.5
YGL112C	52.8
YGL113W	4.7
YGL114W	16.6
YGL115W	80.2
YGL116W	26.2
YGL117W	5.1
YGL119W	20.4
YGL120C	126.4
YGL121C	5.1
YGL122C	103.2
YGL123W	2929.9
YGL124C	9
YGL125W	20.6
YGL126W	21.9
YGL127C	44.1
YGL128C	10.8
YGL129C	32.1
YGL130W	41.9
YGL131C	4.1
YGL133W	14.7
YGL134W	6.7
YGL135W	3166.9
YGL136C	7.2
YGL137W	230.8
YGL138C	0
YGL139W	30.7
YGL140C	20.9
YGL141W	15.2
YGL142C	14.1
YGL143C	12.3
YGL144C	4.3
YGL145W	22
YGL146C	2.1
YGL147C	3051.7
YGL148W	356.3
YGL150C	25.2
YGL151W	20.3
YGL153W	35.3
YGL154C	5.4
YGL155W	22.6
YGL156W	7.3
YGL157W	88.6
YGL158W	0.1
YGL159W	21.5
YGL160W	19.9
YGL161C	78.2
YGL162W	10.9
YGL163C	9.9
YGL164C	23.3
YGL166W	22.8
YGL167C	70.1
YGL168W	7.4
YGL169W	26.4
YGL170C	0.1
YGL171W	63.1
YGL172W	73.9
YGL173C	170.2
YGL174W	22.3
YGL175C	4.5
YGL176C	3.5
YGL178W	13.6
YGL179C	6.5
YGL180W	7.8
YGL181W	81.2
YGL183C	0.7
YGL184C	8.6
YGL185C	18.7
YGL186C	63.1
YGL187C	110.3
YGL188C-A	15.9
YGL189C	3335.1
YGL190C	46.3
YGL191W	197.4
YGL192W	0
YGL193C	4.7
YGL194C	26.1
YGL194C-A	28.4
YGL195W	152.9
YGL196W	35.7
YGL197W	15.5
YGL198W	71
YGL200C	365.5
YGL201C	38.3
YGL202W	358.3
YGL203C	58.8
YGL204C	35.9
YGL205W	0.2
YGL206C	282.3
YGL207W	147.8
YGL208W	14.7
YGL209W	32.6
YGL210W	58
YGL211W	30.8
YGL212W	31
YGL213C	62.8
YGL215W	25.3
YGL216W	14.1
YGL219C	23.4
YGL220W	142.8
YGL221C	136
YGL222C	47.2
YGL223C	22.6
YGL224C	26.9
YGL225W	239.4
YGL226C-A	150.4
YGL226W	43.7
YGL227W	13.2
YGL228W	90.4
YGL229C	3.9
YGL230C	19.6
YGL231C	127.3
YGL232W	94
YGL233W	21.8
YGL234W	343.8
YGL235W	0.2
YGL236C	8.1
YGL237C	26.8
YGL238W	66.2
YGL240W	15
YGL241W	20.5
YGL242C	162.2
YGL243W	15.7
YGL244W	104
YGL245W	634
YGL246C	34.6
YGL247W	13.4
YGL248W	21.2
YGL249W	0.3
YGL250W	11.3
YGL251C	1
YGL252C	48.3
YGL253W	1333.6
YGL254W	20.9
YGL255W	9.5
YGL256W	11
YGL257C	15.6
YGL258W	0.4
YGL258W-A	0.1
YGL259W	0.8
YGL260W	0
YGL261C	0.2
YGL262W	0
YGL263W	0.8
YGR001C	140.4
YGR002C	22.3
YGR003W	13.3
YGR004W	17
YGR005C	66.9
YGR006W	23
YGR007W	47.8
YGR008C	224.3
YGR009C	53.4
YGR010W	18.5
YGR012W	36.9
YGR013W	16
YGR014W	65.4
YGR015C	6.6
YGR016W	12.3
YGR017W	56.8
YGR018C	0.8
YGR019W	67.8
YGR020C	365.7
YGR021W	20.1
YGR023W	3.5
YGR024C	35.7
YGR026W	161.8
YGR027C	3060.3
YGR028W	22.7
YGR029W	48.1
YGR030C	43
YGR031C-A	0.1
YGR031W	27.2
YGR032W	12.5
YGR033C	43.3
YGR034W	2692.7
YGR035C	78.4
YGR035W-A	0
YGR036C	22.4
YGR037C	1199.2
YGR038W	74.2
YGR040W	20.4
YGR041W	22
YGR042W	11.7
YGR043C	5.1
YGR044C	63.4
YGR046W	14
YGR047C	16.5
YGR048W	40.8
YGR049W	50.9
YGR050C	9.1
YGR052W	2.8
YGR053C	2.6
YGR054W	149.6
YGR055W	159.1
YGR056W	18.9
YGR057C	12.5
YGR058W	19.4
YGR059W	0.3
YGR060W	521.3
YGR061C	254.9
YGR062C	6.6
YGR063C	143
YGR065C	19.4
YGR066C	0.3
YGR067C	0.8
YGR068C	10
YGR070W	1.5
YGR071C	7.8
YGR072W	24.5
YGR074W	75.3
YGR075C	14.8
YGR076C	50
YGR077C	9.9
YGR078C	146.1
YGR079W	44.1
YGR080W	69
YGR081C	76.7
YGR082W	190.1
YGR083C	83.3
YGR084C	39.6
YGR085C	2890.4
YGR086C	612.4
YGR087C	8.3
YGR088W	2.5
YGR089W	13.7
YGR090W	57.2
YGR091W	15
YGR092W	35.7
YGR093W	22.3
YGR094W	393.3
YGR095C	61
YGR096W	5.2
YGR097W	12
YGR098C	5.5
YGR099W	11.2
YGR100W	17.4
YGR101W	25.4
YGR102C	32.8
YGR103W	172.4
YGR104C	22.2
YGR105W	184.3
YGR106C	329.5
YGR108W	27.6
YGR109C	14.3
YGR110W	1.4
YGR111W	46.9
YGR112W	13.4
YGR113W	24.7
YGR116W	98.4
YGR117C	26.3
YGR118W	3040.9
YGR119C	73
YGR120C	21.6
YGR121C	4.7
YGR121W-A	1.4
YGR122W	15.1
YGR123C	96.5
YGR124W	581.6
YGR125W	19.9
YGR126W	13.9
YGR127W	9.7
YGR128C	68.9
YGR129W	27.4
YGR130C	89
YGR131W	4.1
YGR132C	159.3
YGR133W	12.7
YGR134W	8.9
YGR135W	322.2
YGR136W	178.4
YGR138C	20.3
YGR140W	10.9
YGR141W	29.9
YGR142W	27.7
YGR143W	16.7
YGR144W	1.5
YGR145W	60.7
YGR146C	37.7
YGR146C-A	2.4
YGR147C	49.2
YGR148C	2374.9
YGR149W	14.3
YGR150C	7
YGR152C	72.4
YGR153W	6.4
YGR154C	0.6
YGR155W	668.8
YGR156W	24.3
YGR157W	97.8
YGR158C	61.6
YGR159C	392.4
YGR161C	55.4
YGR161W-C	27.1
YGR162W	262.1
YGR163W	43
YGR165W	39.6
YGR166W	11.4
YGR167W	352.4
YGR168C	4.8
YGR169C	11.5
YGR169C-A	212.6
YGR170W	8.6
YGR171C	7.7
YGR172C	84.2
YGR173W	124
YGR174C	27
YGR174W-A	2
YGR175C	428.7
YGR177C	36.2
YGR178C	103.8
YGR179C	14.9
YGR180C	730.6
YGR181W	179
YGR183C	122.3
YGR184C	29.8
YGR185C	387
YGR186W	68.8
YGR187C	99.1
YGR188C	3.9
YGR189C	262
YGR191W	95.7
YGR192C	8528.7
YGR193C	87.3
YGR194C	12
YGR195W	64.8
YGR196C	26.4
YGR197C	10.9
YGR198W	25.9
YGR199W	31.2
YGR200C	70.3
YGR201C	6.6
YGR202C	40.5
YGR203W	43.3
YGR204C-A	0
YGR204W	299.6
YGR205W	48.4
YGR206W	36
YGR207C	108.8
YGR208W	116.6
YGR209C	882.4
YGR210C	81.5
YGR211W	171
YGR212W	5.4
YGR213C	0.9
YGR214W	1983.9
YGR215W	115.4
YGR216C	10.2
YGR217W	6.5
YGR218W	133.2
YGR220C	59.3
YGR221C	3.7
YGR222W	13.6
YGR223C	12.1
YGR224W	0.2
YGR225W	0.8
YGR227W	25.6
YGR229C	95.6
YGR230W	21.6
YGR231C	134
YGR232W	88.3
YGR233C	42.2
YGR234W	732
YGR235C	87.5
YGR236C	0.3
YGR237C	17.8
YGR238C	4.4
YGR239C	14
YGR240C	867.6
YGR240C-A	24.8
YGR241C	29.9
YGR243W	10.6
YGR244C	108.8
YGR245C	65.1
YGR246C	30.2
YGR247W	23
YGR248W	16
YGR249W	0.4
YGR250C	24.7
YGR251W	49.8
YGR252W	23.4
YGR253C	291.3
YGR254W	3755.8
YGR255C	27.6
YGR256W	2.7
YGR257C	13.3
YGR258C	8.5
YGR260W	137
YGR261C	41.5
YGR262C	48.9
YGR263C	14.8
YGR264C	279.5
YGR266W	41.2
YGR267C	138.8
YGR268C	28.8
YGR270W	22.7
YGR271C-A	65
YGR271W	15.9
YGR273C	6.2
YGR274C	18.2
YGR275W	106
YGR276C	37.1
YGR277C	48.7
YGR278W	11.8
YGR279C	805.8
YGR280C	88.9
YGR281W	36.7
YGR282C	869.9
YGR283C	27.5
YGR284C	218.8
YGR285C	810.6
YGR286C	34.4
YGR287C	3.4
YGR288W	4.3
YGR289C	0.1
YGR292W	1.4
YGR294W	0.1
YGR295C	61.2
YGR296W	1
YHL001W	2475.8
YHL002W	41.3
YHL003C	99.2
YHL004W	53.2
YHL006C	8.5
YHL007C	38.2
YHL008C	10.3
YHL009C	31.3
YHL010C	7.7
YHL011C	199.7
YHL012W	0.3
YHL013C	58.8
YHL014C	15
YHL015W	3102.1
YHL015W-A	0
YHL016C	0.8
YHL017W	37.2
YHL018W	20.3
YHL019C	8.8
YHL020C	28.9
YHL021C	74.6
YHL022C	1.2
YHL023C	9.1
YHL024W	2.5
YHL025W	29.1
YHL026C	4.2
YHL027W	39.7
YHL028W	5.2
YHL029C	11.9
YHL030W	47.7
YHL031C	71.6
YHL032C	2.8
YHL033C	1951.1
YHL034C	743.5
YHL035C	3.2
YHL036W	2.8
YHL038C	9.9
YHL039W	30.1
YHL040C	29.9
YHL042W	3.4
YHL043W	0.2
YHL044W	4.9
YHL046C	0.2
YHL047C	16.6
YHL048C-A	0.2
YHL048W	12.1
YHL049C	1.2
YHL050C	0
YHR001W	62.9
YHR001W-A	149.3
YHR002W	5.4
YHR003C	34.9
YHR004C	6.8
YHR005C	70.3
YHR005C-A	471.9
YHR006W	26.8
YHR007C	398.5
YHR007C-A	113.1
YHR008C	247.5
YHR009C	57.6
YHR010W	2527.1
YHR011W	11.5
YHR012W	64.5
YHR013C	163.7
YHR014W	0.1
YHR015W	19.2
YHR016C	50.1
YHR017W	19.6
YHR018C	80.6
YHR019C	558.2
YHR020W	397.6
YHR021C	2300.6
YHR021W-A	1.7
YHR022C	1.9
YHR022C-A	1.7
YHR023W	21.3
YHR024C	48.8
YHR025W	272.8
YHR026W	257
YHR027C	210.2
YHR028C	45.5
YHR029C	58.2
YHR030C	43.2
YHR031C	10.1
YHR032W	37.8
YHR033W	0.2
YHR034C	24
YHR035W	2.4
YHR036W	21
YHR037W	72.1
YHR038W	32.9
YHR039C	62
YHR039C-A	1089.9
YHR040W	19.7
YHR041C	36.4
YHR042W	147
YHR043C	63.6
YHR044C	21.1
YHR045W	23.3
YHR046C	39.8
YHR047C	121.4
YHR048W	1.9
YHR049W	132.9
YHR050W	27.3
YHR050W-A	185.1
YHR051W	174.9
YHR052W	140.7
YHR053C	1176.1
YHR054C	45.5
YHR055C	1175.8
YHR056C	34.5
YHR057C	63.2
YHR058C	39.8
YHR059W	73
YHR060W	71
YHR061C	19.4
YHR062C	45.6
YHR063C	109.1
YHR064C	729.6
YHR065C	86.7
YHR066W	69
YHR067W	9.6
YHR068W	326.3
YHR069C	54.1
YHR070W	38.9
YHR071W	16.9
YHR072W	30.9
YHR072W-A	602.4
YHR073W	22.7
YHR074W	73.2
YHR075C	7.5
YHR076W	55
YHR077C	16.8
YHR078W	7.9
YHR079C	6.5
YHR079C-A	0.3
YHR080C	2.9
YHR081W	95
YHR082C	25.5
YHR083W	42.7
YHR084W	27.8
YHR085W	33
YHR086W	20.8
YHR086W-A	0
YHR087W	73.8
YHR088W	83.5
YHR089C	434.7
YHR090C	23.3
YHR091C	6.4
YHR092C	32.1
YHR094C	178.3
YHR096C	10.3
YHR097C	28.4
YHR098C	76
YHR099W	24.7
YHR100C	27.6
YHR101C	20.3
YHR102W	14.9
YHR103W	28.9
YHR104W	131.9
YHR105W	15.5
YHR106W	12
YHR107C	125.1
YHR108W	135.2
YHR109W	7.8
YHR110W	53.4
YHR111W	47.2
YHR112C	32.7
YHR113W	59.6
YHR114W	33.4
YHR115C	34.5
YHR116W	27.1
YHR117W	47.3
YHR118C	20.8
YHR119W	13.2
YHR120W	8.5
YHR121W	108.9
YHR122W	72.1
YHR123W	54.3
YHR124W	0.9
YHR126C	0
YHR127W	51.2
YHR128W	364.6
YHR129C	10.4
YHR131C	6.3
YHR132C	121.8
YHR132W-A	109.8
YHR133C	121.4
YHR134W	7.3
YHR135C	79.9
YHR136C	174.9
YHR137W	46.8
YHR138C	53.7
YHR139C	0.3
YHR140W	8.3
YHR141C	3139.4
YHR142W	43.3
YHR143W	304.8
YHR143W-A	392.4
YHR144C	31.5
YHR146W	207.1
YHR147C	65.7
YHR148W	78.9
YHR149C	29.6
YHR150W	5.2
YHR151C	7.3
YHR152W	100.5
YHR153C	7.1
YHR154W	21.1
YHR155W	8.7
YHR156C	9.2
YHR157W	0.8
YHR158C	31.2
YHR159W	6.2
YHR160C	0.6
YHR161C	20.4
YHR162W	440.1
YHR163W	129.7
YHR164C	6.4
YHR165C	14.9
YHR166C	12.4
YHR167W	26.2
YHR168W	7.2
YHR169W	44.8
YHR170W	113.3
YHR171W	6.5
YHR172W	13.3
YHR173C	0.4
YHR174W	7540
YHR175W	118.9
YHR175W-A	39.7
YHR176W	3.2
YHR177W	1
YHR178W	7.4
YHR179W	855.6
YHR181W	68.3
YHR182W	6
YHR183W	891.5
YHR184W	2.8
YHR185C	0.6
YHR186C	15.6
YHR187W	32.6
YHR188C	52.3
YHR189W	6.7
YHR190W	211.6
YHR191C	42.6
YHR192W	38.5
YHR193C	1572.5
YHR194W	3.3
YHR195W	18.1
YHR196W	65.3
YHR197W	30.2
YHR198C	21.1
YHR199C	41.1
YHR199C-A	37.5
YHR200W	219
YHR201C	84.2
YHR202W	6.9
YHR203C	2978.8
YHR204W	8.4
YHR205W	48.3
YHR206W	26
YHR207C	34.3
YHR208W	496
YHR209W	8.8
YHR210C	1.4
YHR211W	0.2
YHR212W-A	0.1
YHR213W	0
YHR213W-A	0
YHR213W-B	0
YHR214C-D	0.1
YHR214C-E	0.2
YHR214W	24.7
YHR215W	568.4
YHR216W	129.7
YHR218W	0.9
YHR219W	0
YIL001W	9.6
YIL002C	9
YIL002W-A	193.2
YIL003W	20.3
YIL004C	64.4
YIL005W	43.8
YIL006W	3.1
YIL007C	26.9
YIL008W	189.2
YIL009C-A	140.5
YIL009W	27.7
YIL010W	89.6
YIL011W	12.7
YIL013C	0.8
YIL014C-A	17.6
YIL014W	17.7
YIL015W	192.9
YIL016W	85.7
YIL017C	5
YIL018W	3037.7
YIL019W	40.8
YIL020C	57.1
YIL021W	139.6
YIL022W	94.2
YIL023C	25.1
YIL024C	4.9
YIL026C	19.8
YIL027C	96.3
YIL029C	2.7
YIL030C	54.4
YIL031W	6.2
YIL033C	113.6
YIL034C	94.5
YIL035C	63.8
YIL036W	35.3
YIL037C	0.5
YIL038C	62.1
YIL039W	77
YIL040W	67.3
YIL041W	295.6
YIL042C	24.3
YIL043C	245.1
YIL044C	68.7
YIL045W	8.7
YIL046W	14.1
YIL046W-A	6.5
YIL047C	25.3
YIL048W	19.7
YIL049W	10.9
YIL050W	31.3
YIL051C	1347
YIL052C	2659
YIL053W	1767.2
YIL054W	9.7
YIL055C	4.2
YIL056W	13.3
YIL057C	0.6
YIL060W	18.4
YIL061C	44.7
YIL062C	266.8
YIL063C	94.2
YIL064W	57.7
YIL065C	64.8
YIL066C	3.8
YIL067C	11.2
YIL068C	20.3
YIL069C	3137.5
YIL070C	117.6
YIL071C	5.2
YIL072W	0.6
YIL073C	0.3
YIL074C	123.2
YIL075C	171.1
YIL076W	173.1
YIL077C	11.6
YIL078W	620.8
YIL079C	33.1
YIL083C	45.6
YIL084C	27.3
YIL085C	22.9
YIL087C	27.5
YIL088C	34.6
YIL089W	3.8
YIL090W	24.1
YIL091C	44.4
YIL092W	3.4
YIL093C	39.8
YIL094C	182.2
YIL095W	13.5
YIL096C	23.1
YIL097W	5.6
YIL098C	45
YIL099W	0.3
YIL101C	3
YIL102C	0
YIL102C-A	9.8
YIL103W	37
YIL104C	25.2
YIL105C	28.3
YIL105W-A	5.4
YIL106W	53
YIL107C	11.3
YIL108W	29.4
YIL109C	133.4
YIL110W	42.8
YIL111W	76.7
YIL112W	16.1
YIL113W	4
YIL114C	30
YIL115C	57.4
YIL116W	93
YIL117C	42.7
YIL118W	124.5
YIL119C	22.2
YIL120W	1.2
YIL121W	28.1
YIL122W	5.2
YIL123W	550
YIL124W	120.8
YIL125W	88.3
YIL126W	47.2
YIL127C	72.7
YIL128W	22.6
YIL129C	15
YIL130W	21.5
YIL131C	37.1
YIL132C	5.1
YIL133C	1579.9
YIL134C-A	10.5
YIL134W	6.9
YIL135C	29
YIL136W	24.4
YIL137C	61.3
YIL138C	234.3
YIL139C	7
YIL140W	35
YIL142W	233
YIL143C	29.6
YIL144W	14.7
YIL145C	70.8
YIL146C	3.7
YIL147C	11.2
YIL148W	2886.4
YIL149C	12.3
YIL150C	10.5
YIL151C	5.3
YIL152W	10.1
YIL153W	20
YIL154C	42.9
YIL155C	17.2
YIL156W	14.4
YIL156W-B	152
YIL157C	71.8
YIL158W	34.7
YIL159W	4.5
YIL160C	0.1
YIL161W	17.6
YIL162W	44.1
YIL163C	2.1
YIL164C	1
YIL165C	0.5
YIL166C	1
YIL169C	9.5
YIL172C	1.6
YIL173W	7.5
YIL176C	0.1
YIL177C	0.5
YIR001C	41.7
YIR002C	11.1
YIR003W	42.8
YIR004W	53.7
YIR005W	26.2
YIR006C	88.4
YIR007W	17.3
YIR008C	38.6
YIR009W	39.2
YIR010W	14.5
YIR011C	40.9
YIR012W	142.3
YIR013C	0.3
YIR014W	9.2
YIR015W	16.6
YIR016W	0.5
YIR017C	15.3
YIR018C-A	0.2
YIR018W	22.6
YIR019C	0
YIR020C	0.1
YIR021W	13.2
YIR021W-A	132.8
YIR022W	110.6
YIR023W	11.9
