ORF,elp1D_1
YEL005C,5.2
YEL006W,10.3
YEL007W,32.5
YEL009C,92.8
YEL011W,5.3
YEL012W,23.3
YEL013W,68.4
YEL015W,26.3
YEL016C,4.6
YEL017C-A,1008.1
YEL017W,35.7
YEL018W,16.9
YEL019C,6
YEL020C,3.2
YEL020W-A,70.1
YEL021W,0
YEL022W,25
YEL023C,0.1
YEL024W,38
YEL025C,4.2
YEL026W,656.2
YEL027W,1168.8
YEL029C,20.8
YEL030W,0.7
YEL031W,151.1
YEL032W,33.3
YEL033W,2411.7
YEL034W,2872.7
YEL035C,0
YEL036C,46.3
YEL037C,143.8
YEL038W,67.5
YEL039C,6.5
YEL040W,287.6
YEL041W,2.4
YEL042W,101.3
YEL043W,11
YEL044W,48.5
YEL046C,352.4
YEL047C,95.1
YEL048C,33.3
YEL049W,0
YEL050C,25.8
YEL051W,248.2
YEL052W,19.6
YEL053C,11
YEL054C,2526.6
YEL055C,50
YEL056W,31
YEL057C,0.6
YEL058W,98.3
YEL059C-A,12.3
YEL060C,85.1
YEL061C,10.1
YEL062W,6.3
YEL063C,56.6
YEL064C,5.7
YEL065W,53.1
YEL066W,50.4
YEL067C,3.5
YEL068C,23.9
YEL069C,0.1
YEL070W,0.6
YEL071W,256.8
YEL072W,1.5
YEL073C,2.1
YEL075C,0
YEL076C,0.9
YEL076C-A,0
YEL077C,0
YER001W,43.5
YER002W,98.9
YER003C,295.9
YER004W,115.2
YER005W,12.8
YER006W,142.3
YER007C-A,133.6
YER007W,5.6
YER008C,11.3
YER009W,601.3
YER010C,18.8
YER011W,40.6
YER012W,200.4
YER013W,9.1
YER014C-A,0
YER014W,11.5
YER015W,2
YER016W,32.5
YER017C,23.1
YER018C,17.2
YER019C-A,323.8
YER019W,25.5
YER020W,13.8
YER021W,143.8
YER022W,24.9
YER023W,293.5
YER024W,0.7
YER025W,260.4
YER026C,197.4
YER027C,53.6
YER028C,5.9
YER029C,30.9
YER030W,87.2
YER031C,149.2
YER032W,9.5
YER033C,2.4
YER034W,24.5
YER035W,29.9
YER036C,290.5
YER037W,8
YER038C,3.8
YER038W-A,0
YER039C,1
YER039C-A,2.4
YER040W,7.7
YER041W,4.3
YER042W,142.7
YER043C,829.9
YER044C,52.2
YER044C-A,0.2
YER045C,4.3
YER046W,6
YER047C,6
YER048C,78.5
YER048W-A,95.9
YER049W,93.7
YER050C,71.3
YER051W,4.7
YER052C,162.1
YER053C,5.5
YER053C-A,1
YER054C,0.6
YER055C,551.4
YER056C,191
YER056C-A,2230.8
YER057C,207.9
YER058W,11.2
YER059W,11.3
YER060W,9
YER060W-A,19
YER061C,9.6
YER062C,89.1
YER063W,72.3
YER064C,73.3
YER065C,1.2
YER066W,9.7
YER067W,15.2
YER068W,27.4
YER069W,12.8
YER070W,178.9
YER071C,33.1
YER072W,1359.6
YER073W,217.4
YER074W,3596.5
YER074W-A,122.6
YER075C,8.3
YER076C,3.7
YER077C,6.1
YER078C,16.3
YER078W-A,8.3
YER079W,14
YER080W,68
YER081W,29.8
YER082C,36.2
YER083C,69.5
YER084W,1.5
YER085C,0.6
YER086W,152.1
YER087C-B,215
YER087W,8.1
YER088C,32.8
YER089C,55.6
YER090W,205.8
YER091C,354.5
YER092W,50.2
YER093C,4.1
YER093C-A,9.7
YER094C,210.6
YER095W,24.2
YER096W,0.5
YER098W,1.9
YER099C,47.7
YER100W,78.2
YER101C,9.7
YER102W,4346.7
YER103W,9.4
YER104W,9.4
YER105C,31.7
YER106W,0.7
YER107C,30.2
YER110C,244.3
YER111C,8.9
YER112W,55.2
YER113C,11.2
YER114C,25.8
YER115C,4.6
YER116C,11.7
YER117W,2801
YER118C,39.1
YER119C,23.2
YER120W,427.9
YER121W,2
YER122C,110.1
YER123W,18
YER124C,115.1
YER125W,81.7
YER126C,121.1
YER127W,54.6
YER128W,7.5
YER129W,7.3
YER130C,14.8
YER131W,1342.2
YER132C,4.3
YER133W,183.8
YER134C,43
YER136W,123.4
YER137C,9
YER138W-A,62.8
YER139C,11.4
YER140W,5.8
YER141W,40.8
YER142C,14.8
YER143W,32.6
YER144C,6
YER145C,171
YER146W,151.4
YER147C,7.9
YER148W,91.5
YER149C,23.9
YER150W,3.9
YER151C,39.3
YER152C,42
YER153C,19.6
YER154W,21.3
YER155C,24.3
YER156C,122
YER157W,11.8
YER158C,2.3
YER159C,59.8
YER161C,20.6
YER162C,5.6
YER163C,24.1
YER164W,14
YER165W,689.6
YER166W,21.2
YER167W,8.7
YER168C,26.8
YER169W,8.9
YER170W,15.4
YER171W,16.4
YER172C,9.1
YER173W,3.8
YER174C,27.1
YER175C,7.6
YER175W-A,0
YER176W,21.8
YER177W,881
YER178W,503.8
YER179W,0.8
YER180C,0.4
YER180C-A,758.6
YER182W,14.4
YER183C,38.7
YER184C,0.5
YER185W,0.7
YER186C,0.7
YER187W,0.3
YER188C-A,0
YER189W,0
YER190C-B,0.3
YER190W,0.4
YFL001W,18.3
YFL002C,22.7
YFL003C,0.4
YFL004W,126.3
YFL005W,195.1
YFL007W,25.2
YFL008W,13.1
YFL009W,21
YFL010C,149.8
YFL010W-A,0
YFL011W,0.2
YFL012W,0.6
YFL013C,17.1
YFL014W,10.6
YFL016C,50.6
YFL017C,48
YFL017W-A,82.1
YFL018C,189.8
YFL020C,1.1
YFL021W,14.5
YFL022C,233.4
YFL023W,21.8
YFL024C,6.2
YFL025C,7
YFL026W,198
YFL027C,9
YFL028C,43.7
YFL029C,14.5
YFL030W,0.5
YFL031W,4.2
YFL033C,5.4
YFL034C-A,104.8
YFL034C-B,33.2
YFL034W,8.5
YFL036W,12.5
YFL037W,248.9
YFL038C,365.4
YFL039C,1940.6
YFL040W,0
YFL041W,38.9
YFL041W-A,4
YFL042C,10.8
YFL044C,38.2
YFL045C,453.8
YFL046W,25.4
YFL047W,17.7
YFL048C,82.4
YFL049W,10.6
YFL050C,0.2
YFL051C,0
YFL052W,0.3
YFL053W,0.1
YFL054C,1.3
YFL055W,0.8
YFL058W,1.9
YFL059W,9.4
YFL060C,1.8
YFL061W,0.7
YFL062W,30.3
YFL064C,0.3
YFL065C,0
YFL066C,0.3
YFL067W,0
YFL068W,0
YFR001W,58.6
YFR002W,37.4
YFR003C,41.7
YFR004W,166.5
YFR005C,19.5
YFR006W,86.3
YFR007W,9.6
YFR008W,13.4
YFR009W,465.3
YFR010W,104.1
YFR011C,49.4
YFR012W,0.5
YFR012W-A,0
YFR013W,13.6
YFR014C,14.8
YFR015C,4.2
YFR016C,17.1
YFR017C,2
YFR018C,21
YFR019W,6
YFR020W,4.1
YFR021W,15.4
YFR022W,0.7
YFR023W,0
YFR024C-A,100.8
YFR025C,66.4
YFR026C,0
YFR027W,8.6
YFR028C,30.5
YFR029W,6.9
YFR030W,17.2
YFR031C,7.7
YFR031C-A,3268.8
YFR032C,0.5
YFR032C-A,3265.8
YFR032C-B,6.7
YFR033C,36
YFR034C,38.2
YFR035C,25.2
YFR036W,21.5
YFR037C,57.2
YFR038W,11.5
YFR039C,18
YFR040W,16
YFR041C,28.4
YFR042W,26.2
YFR043C,40.6
YFR044C,332.6
YFR045W,6.7
YFR046C,9.7
YFR047C,65.9
YFR048W,8
YFR049W,64.6
YFR050C,139.8
YFR051C,113.5
YFR052W,149.6
YFR053C,17.9
YFR055W,74.2
YFR057W,0
YGL001C,95.7
YGL002W,23.3
YGL003C,7.2
YGL004C,14.9
YGL005C,15.2
YGL006W,10.3
YGL006W-A,4
YGL007C-A,121.1
YGL008C,2576.8
YGL009C,755.1
YGL010W,12
YGL011C,222.7
YGL012W,179.4
YGL013C,12.6
YGL014W,32
YGL015C,0
YGL016W,32.2
YGL017W,11.2
YGL018C,16.4
YGL019W,69.3
YGL020C,56.9
YGL021W,16.4
YGL022W,90.5
YGL023C,15.7
YGL025C,17.8
YGL026C,388.2
YGL027C,53.9
YGL028C,82.8
YGL029W,64.4
YGL030W,2969.7
YGL031C,2612.3
YGL032C,73.2
YGL033W,0.7
YGL035C,24.7
YGL036W,7.4
YGL037C,122.9
YGL038C,26.9
YGL039W,59.3
YGL040C,108.5
YGL041C-B,0
YGL041W-A,38.2
YGL043W,72
YGL044C,28.2
YGL045W,2.7
YGL047W,15.3
YGL048C,129.1
YGL049C,32.7
YGL050W,20.9
YGL051W,11
YGL053W,16.5
YGL054C,244.9
YGL055W,190.4
YGL056C,33.6
YGL057C,11.2
YGL058W,95
YGL059W,3.8
YGL060W,16.6
YGL061C,16.1
YGL062W,84.6
YGL063W,1.8
YGL064C,8.4
YGL065C,30.1
YGL066W,11.5
YGL067W,34.4
YGL068W,103.2
YGL070C,74.2
YGL071W,12.5
YGL073W,10.9
YGL075C,4.3
YGL076C,3446.7
YGL077C,45.1
YGL078C,105.7
YGL079W,10.8
YGL080W,53.5
YGL081W,1.1
YGL082W,29.1
YGL083W,13.1
YGL084C,28.1
YGL085W,4.6
YGL086W,11.4
YGL087C,64.5
YGL089C,0.4
YGL090W,1.8
YGL091C,28.9
YGL092W,32.2
YGL093W,11.5
YGL094C,9.2
YGL095C,15.7
YGL096W,0.2
YGL097W,90.7
YGL098W,15.8
YGL099W,73.2
YGL100W,62.1
YGL101W,37.1
YGL103W,4294.3
YGL104C,4.4
YGL105W,605.5
YGL106W,252.9
YGL107C,15
YGL108C,19.6
YGL110C,13.9
YGL111W,33.7
YGL112C,43.3
YGL113W,3.1
YGL114W,12.9
YGL115W,59.5
YGL116W,12.9
YGL117W,19.8
YGL119W,15.4
YGL120C,116.1
YGL121C,0.7
YGL122C,54.5
YGL123W,3337.6
YGL124C,4.1
YGL125W,17
YGL126W,23
YGL127C,34.7
YGL128C,6.4
YGL129C,19.2
YGL130W,29.4
YGL131C,2.7
YGL133W,10.1
YGL134W,2.9
YGL135W,3493.4
YGL136C,1.9
YGL137W,218.3
YGL138C,0.1
YGL139W,21.4
YGL140C,14.6
YGL141W,8.9
YGL142C,10
YGL143C,10
YGL144C,4.7
YGL145W,13.3
YGL146C,1.1
YGL147C,2868.8
YGL148W,333.2
YGL150C,18.8
YGL151W,12.9
YGL153W,19.1
YGL154C,3.9
YGL155W,16.2
YGL156W,2.3
YGL157W,59.8
YGL158W,0.4
YGL159W,12.3
YGL160W,14.6
YGL161C,55.7
YGL162W,6.2
YGL163C,6.5
YGL164C,15.9
YGL166W,18
YGL167C,47.6
YGL168W,3.8
YGL169W,26
YGL170C,0.1
YGL171W,55
YGL172W,50.3
YGL173C,88
YGL174W,6.9
YGL175C,4.3
YGL176C,3.3
YGL178W,11.3
YGL179C,3.7
YGL180W,6.4
YGL181W,33.5
YGL183C,0.7
YGL184C,5.9
YGL185C,8.8
YGL186C,42.1
YGL187C,57.5
YGL188C-A,18.6
YGL189C,2965.4
YGL190C,35.4
YGL191W,153.3
YGL192W,0
YGL193C,4.4
YGL194C,18.8
YGL194C-A,11
YGL195W,109.2
YGL196W,16.5
YGL197W,9.7
YGL198W,64.3
YGL200C,256.4
YGL201C,25.7
YGL202W,366.4
YGL203C,30.5
YGL204C,26.1
YGL205W,0.2
YGL206C,120.8
YGL207W,116.4
YGL208W,9.6
YGL209W,21.7
YGL210W,30
YGL211W,28
YGL212W,15.1
YGL213C,38.5
YGL215W,19.1
YGL216W,10.4
YGL219C,15.2
YGL220W,77.6
YGL221C,106.7
YGL222C,42.6
YGL223C,25.2
YGL224C,22.7
YGL225W,264.2
YGL226C-A,161.2
YGL226W,29.6
YGL227W,6.1
YGL228W,43.9
YGL229C,2.8
YGL230C,23.7
YGL231C,111.6
YGL232W,43.7
YGL233W,14.3
YGL234W,285.3
YGL235W,0
YGL236C,5.3
YGL237C,12.6
YGL238W,52.5
YGL240W,10.7
YGL241W,10.8
YGL242C,87.7
YGL243W,10.1
YGL244W,50.4
YGL245W,583.9
YGL246C,24.3
YGL247W,8.7
YGL248W,13.5
YGL249W,0.1
YGL250W,4.9
YGL251C,0.6
YGL252C,31.3
YGL253W,829.6
YGL254W,15
YGL255W,10.9
YGL256W,9.3
YGL257C,10.8
YGL258W,0.7
YGL258W-A,0
YGL259W,1.8
YGL260W,0
YGL261C,0
YGL262W,0
YGL263W,2.7
YGR001C,125.7
YGR002C,11.7
YGR003W,10.4
YGR004W,11.9
YGR005C,33.2
YGR006W,12.3
YGR007W,37.2
YGR008C,39
YGR009C,19.9
YGR010W,14
YGR012W,29.8
YGR013W,7.9
YGR014W,26.8
YGR015C,5.5
YGR016W,10
YGR017W,37
YGR018C,0.8
YGR019W,25.3
YGR020C,298.2
YGR021W,7.1
YGR023W,4.1
YGR024C,23.8
YGR026W,108.5
YGR027C,3182
YGR028W,11.3
YGR029W,37.1
YGR030C,24.6
YGR031C-A,0
YGR031W,19.8
YGR032W,9.5
YGR033C,40.2
YGR034W,2523.4
YGR035C,23.2
YGR035W-A,0
YGR036C,15.6
YGR037C,750.6
YGR038W,66.2
YGR040W,12.1
YGR041W,9.5
YGR042W,6.6
YGR043C,5.2
YGR044C,43.5
YGR046W,9.9
YGR047C,10.3
YGR048W,28.9
YGR049W,21.6
YGR050C,5.1
YGR052W,0.6
YGR053C,3
YGR054W,116.2
YGR055W,85.8
YGR056W,12.9
YGR057C,7.6
YGR058W,15.4
YGR059W,0.1
YGR060W,433.1
YGR061C,189.6
YGR062C,5.6
YGR063C,97.4
YGR065C,15
YGR066C,0
YGR067C,0.5
YGR068C,6.3
YGR070W,0.3
YGR071C,5.3
YGR072W,19.7
YGR074W,65.5
YGR075C,7.4
YGR076C,24.1
YGR077C,8.3
YGR078C,70.8
YGR079W,22.4
YGR080W,40.8
YGR081C,36.7
YGR082W,79.2
YGR083C,55.9
YGR084C,22.8
YGR085C,2639.1
YGR086C,557.3
YGR087C,8.9
YGR088W,1.6
YGR089W,9.4
YGR090W,36.2
YGR091W,8.3
YGR092W,16.8
YGR093W,20.2
YGR094W,340.9
YGR095C,44
YGR096W,2.2
YGR097W,14.2
YGR098C,3.4
YGR099W,7.3
YGR100W,11.1
YGR101W,15.1
YGR102C,18.9
YGR103W,155.5
YGR104C,16.1
YGR105W,148.4
YGR106C,305.2
YGR108W,15.2
YGR109C,10.2
YGR110W,1.3
YGR111W,23.7
YGR112W,5.4
YGR113W,17.7
YGR116W,65.6
YGR117C,25.2
YGR118W,2530.5
YGR119C,35.2
YGR120C,11.8
YGR121C,2.3
YGR121W-A,2.4
YGR122W,8.2
YGR123C,70.7
YGR124W,587.1
YGR125W,15.6
YGR126W,9.5
YGR127W,3.9
YGR128C,56.8
YGR129W,12.8
YGR130C,35
YGR131W,1.9
YGR132C,103.8
YGR133W,9
YGR134W,5.5
YGR135W,177.3
YGR136W,101.7
YGR138C,13.5
YGR140W,9.5
YGR141W,16.2
YGR142W,25
YGR143W,10.2
YGR144W,1.2
YGR145W,58.4
YGR146C,28.7
YGR146C-A,2.3
YGR147C,35.7
YGR148C,1807.5
YGR149W,8.3
YGR150C,5.6
YGR152C,38.2
YGR153W,4.1
YGR154C,0.1
YGR155W,467.3
YGR156W,14.7
YGR157W,65
YGR158C,47.3
YGR159C,334.4
YGR161C,34.1
YGR161W-C,11.7
YGR162W,159.5
YGR163W,27.1
YGR165W,23.8
YGR166W,9.7
YGR167W,176.5
YGR168C,4.9
YGR169C,5.8
YGR169C-A,78.6
YGR170W,5.5
YGR171C,6.2
YGR172C,82.4
YGR173W,100.2
YGR174C,16.2
YGR174W-A,2.4
YGR175C,276.3
YGR177C,12.8
YGR178C,65.5
YGR179C,8
YGR180C,613.5
YGR181W,96.3
YGR183C,78.3
YGR184C,23
YGR185C,249
YGR186W,42.6
YGR187C,71
YGR188C,2.2
YGR189C,202.5
YGR191W,50.8
YGR192C,24897.2
YGR193C,50.5
YGR194C,7.8
YGR195W,48.9
YGR196C,12
YGR197C,7
YGR198W,13.5
YGR199W,18.1
YGR200C,61.9
YGR201C,4.8
YGR202C,28.6
YGR203W,35.8
YGR204C-A,0
YGR204W,237.4
YGR205W,21.8
YGR206W,20.3
YGR207C,82.3
YGR208W,55.4
YGR209C,811.4
YGR210C,39.8
YGR211W,138.4
YGR212W,2.5
YGR213C,0.6
YGR214W,1884.2
YGR215W,39.4
YGR216C,8.7
YGR217W,3.8
YGR218W,73.6
YGR220C,43.8
YGR221C,2.2
YGR222W,9.2
YGR223C,9.8
YGR224W,0.4
YGR225W,0.4
YGR227W,19.1
YGR229C,58.3
YGR230W,6.6
YGR231C,121
YGR232W,79.6
YGR233C,21
YGR234W,717.8
YGR235C,46.5
YGR236C,0
YGR237C,9
YGR238C,2.9
YGR239C,9.9
YGR240C,556.2
YGR240C-A,10.3
YGR241C,16.1
YGR243W,3.6
YGR244C,62.3
YGR245C,56.5
YGR246C,16.5
YGR247W,24.1
YGR248W,1.2
YGR249W,0.2
YGR250C,11.6
YGR251W,26.7
YGR252W,15.7
YGR253C,229.1
YGR254W,7036.8
YGR255C,21.1
YGR256W,2.3
YGR257C,9.8
YGR258C,5.6
YGR260W,72.7
YGR261C,40
YGR262C,42
YGR263C,6.7
YGR264C,221.2
YGR266W,24.2
YGR267C,84.4
YGR268C,17.8
YGR270W,18.2
YGR271C-A,47.8
YGR271W,9
YGR273C,3.1
YGR274C,14.6
YGR275W,58.6
YGR276C,30.8
YGR277C,33.1
YGR278W,7.1
YGR279C,468.9
YGR280C,57.5
YGR281W,15.7
YGR282C,882.3
YGR283C,26.4
YGR284C,118.2
YGR285C,611
YGR286C,25.6
YGR287C,1.4
YGR288W,3.9
YGR289C,0.3
YGR292W,0.2
YGR294W,0
YGR295C,52.2
YGR296W,0.7
YHL001W,2872.4
YHL002W,23.7
YHL003C,83.8
YHL004W,31
YHL006C,4.1
YHL007C,22.9
YHL008C,6.9
YHL009C,12.5
YHL010C,3.9
YHL011C,205.1
YHL012W,0.1
YHL013C,31
YHL014C,8.6
YHL015W,3618.9
YHL015W-A,0
YHL016C,1.3
YHL017W,31.3
YHL018W,10.9
YHL019C,6.9
YHL020C,14.2
YHL021C,27.2
YHL022C,0.8
YHL023C,7
YHL024W,0.1
YHL025W,26.2
YHL026C,1.9
YHL027W,26.9
YHL028W,3.2
YHL029C,7.6
YHL030W,24.5
YHL031C,48.9
YHL032C,1.6
YHL033C,1664.7
YHL034C,315.2
YHL035C,1.5
YHL036W,2
YHL038C,6.2
YHL039W,38.8
YHL040C,9.9
YHL042W,1.6
YHL043W,0.3
YHL044W,4.4
YHL046C,0
YHL047C,6.7
YHL048C-A,0
YHL048W,21.2
YHL049C,0.2
YHL050C,0.1
YHR001W,39
YHR001W-A,54.9
YHR002W,4.4
YHR003C,35.6
YHR004C,2.4
YHR005C,40.7
YHR005C-A,362.3
YHR006W,16.5
YHR007C,388.5
YHR007C-A,73.2
YHR008C,172.9
YHR009C,36.7
YHR010W,2882.6
YHR011W,4.4
YHR012W,52.2
YHR013C,104.8
YHR014W,0
YHR015W,459.4
YHR016C,23.2
YHR017W,12.1
YHR018C,182.7
YHR019C,409.2
YHR020W,269.5
YHR021C,3055
YHR021W-A,0.9
YHR022C,1.6
YHR022C-A,1.2
YHR023W,12
YHR024C,32.1
YHR025W,236.6
YHR026W,258
YHR027C,194.5
YHR028C,30.1
YHR029C,71.9
YHR030C,36.4
YHR031C,10
YHR032W,29.4
YHR033W,0.1
YHR034C,19.9
YHR035W,1.9
YHR036W,11
YHR037W,57.9
YHR038W,10.3
YHR039C,41.6
YHR039C-A,627.1
YHR040W,18
YHR041C,34.2
YHR042W,133.4
YHR043C,33.3
YHR044C,13.7
YHR045W,17.8
YHR046C,31.1
YHR047C,97.7
YHR048W,1.9
YHR049W,86.2
YHR050W,18.9
YHR050W-A,116.1
YHR051W,110.5
YHR052W,111
YHR053C,656.3
YHR054C,17
YHR055C,656.3
YHR056C,17.5
YHR057C,50
YHR058C,26.5
YHR059W,32.9
YHR060W,29.8
YHR061C,10.9
YHR062C,28.1
YHR063C,70.6
YHR064C,535.5
YHR065C,59.2
YHR066W,42.9
YHR067W,7
YHR068W,249.8
YHR069C,29.4
YHR070W,33.1
YHR071W,27.6
YHR072W,22.1
YHR072W-A,471
YHR073W,15.2
YHR074W,64.2
YHR075C,3.9
YHR076W,44.4
YHR077C,10.2
YHR078W,7
YHR079C,4.9
YHR079C-A,0
YHR080C,0.9
YHR081W,38.1
YHR082C,16
YHR083W,27.8
YHR084W,18.1
YHR085W,19.8
YHR086W,13.6
YHR086W-A,1.5
YHR087W,7.9
YHR088W,56.3
YHR089C,308.9
YHR090C,13.1
YHR091C,4.3
YHR092C,18
YHR094C,102.3
YHR096C,6.5
YHR097C,10.5
YHR098C,53.8
YHR099W,11.9
YHR100C,23.1
YHR101C,15.1
YHR102W,9.5
YHR103W,14
YHR104W,55.7
YHR105W,8
YHR106W,7.7
YHR107C,49.7
YHR108W,85.1
YHR109W,6.1
YHR110W,41.5
YHR111W,32.4
YHR112C,13.4
YHR113W,31.8
YHR114W,23.4
YHR115C,26.7
YHR116W,9.8
YHR117W,32.1
YHR118C,12.4
YHR119W,9.5
YHR120W,6.2
YHR121W,51.3
YHR122W,57.8
YHR123W,48
YHR124W,1.4
YHR126C,0.9
YHR127W,26.8
YHR128W,250.1
YHR129C,7.4
YHR131C,4.2
YHR132C,74
YHR132W-A,54.6
YHR133C,103.4
YHR134W,5.6
YHR135C,34.4
YHR136C,84.4
YHR137W,104.8
YHR138C,26.4
YHR139C,0.2
YHR140W,4.1
YHR141C,4033.8
YHR142W,39.9
YHR143W,212.1
YHR143W-A,183.6
YHR144C,159
YHR146W,117.4
YHR147C,46.9
YHR148W,57.1
YHR149C,14.6
YHR150W,2.6
YHR151C,7.1
YHR152W,29.4
YHR153C,4.2
YHR154W,18.3
YHR155W,6.1
YHR156C,5.2
YHR157W,0.8
YHR158C,20.2
YHR159W,5
YHR160C,0.2
YHR161C,11.3
YHR162W,407.1
YHR163W,99.8
YHR164C,5.2
YHR165C,9.9
YHR166C,7.2
YHR167W,18.7
YHR168W,4.5
YHR169W,37.3
YHR170W,93.8
YHR171W,2.6
YHR172W,7.3
YHR173C,0.4
YHR174W,16342
YHR175W,138.2
YHR175W-A,24.2
YHR176W,2.5
YHR177W,0.6
YHR178W,3
YHR179W,691.1
YHR181W,88.9
YHR182W,4.6
YHR183W,570.6
YHR184W,1.4
YHR185C,0.2
YHR186C,26.5
YHR187W,30.9
YHR188C,38.8
YHR189W,4.4
YHR190W,172.2
YHR191C,18.8
YHR192W,22.5
YHR193C,1103
YHR194W,2.8
YHR195W,12.7
YHR196W,43.9
YHR197W,25.2
YHR198C,14.5
YHR199C,26.8
YHR199C-A,21.3
YHR200W,172.5
YHR201C,40.4
YHR202W,4.2
YHR203C,3633.8
YHR204W,5.4
YHR205W,32.9
YHR206W,19.5
YHR207C,18.3
YHR208W,750.8
YHR209W,9.3
YHR210C,1.8
YHR211W,0
YHR212W-A,0
YHR213W,0
YHR213W-A,0
YHR213W-B,0
YHR214C-D,0
YHR214C-E,0.5
YHR214W,7.5
YHR215W,325.6
YHR216W,157.7
YHR218W,0.2
YHR219W,0.1
YIL001W,4.8
YIL002C,5.3
YIL002W-A,99.1
YIL003W,21.9
YIL004C,39.1
YIL005W,25.9
YIL006W,1.9
YIL007C,13.2
YIL008W,133.9
YIL009C-A,1171.8
YIL009W,16.7
YIL010W,65.3
YIL011W,16.3
YIL013C,0.4
YIL014C-A,10.5
YIL014W,9.5
YIL015W,73.5
YIL016W,60.1
YIL017C,3.6
YIL018W,4109.5
YIL019W,35.8
YIL020C,42.8
YIL021W,68.1
YIL022W,48.7
YIL023C,16.8
YIL024C,1.3
YIL026C,12.7
YIL027C,77
YIL029C,1
YIL030C,41.6
YIL031W,3.9
YIL033C,65.8
YIL034C,80.2
YIL035C,58
YIL036W,18.4
YIL037C,0.3
YIL038C,43.1
YIL039W,54.1
YIL040W,44.9
YIL041W,232.2
YIL042C,22.9
YIL043C,247.7
YIL044C,52.8
YIL045W,4.3
YIL046W,6.1
YIL046W-A,1.5
YIL047C,25.3
YIL048W,15.4
YIL049W,12
YIL050W,22.7
YIL051C,950.8
YIL052C,2828.7
YIL053W,1487
YIL054W,5.7
YIL055C,2.4
YIL056W,9.4
YIL057C,0.3
YIL060W,17.2
YIL061C,20.4
YIL062C,170.9
YIL063C,27.8
YIL064W,53.9
YIL065C,38.6
YIL066C,3.6
YIL067C,8.9
YIL068C,13.9
YIL069C,2931.6
YIL070C,40.9
YIL071C,3
YIL072W,0.4
YIL073C,0.2
YIL074C,76.9
YIL075C,154.7
YIL076W,127.4
YIL077C,7.9
YIL078W,453.3
YIL079C,26.3
YIL083C,32.5
YIL084C,16.5
YIL085C,15.2
YIL087C,13.4
YIL088C,26.6
YIL089W,3.6
YIL090W,18.4
YIL091C,30.1
YIL092W,2.4
YIL093C,20.6
YIL094C,179.1
YIL095W,8.3
YIL096C,19.1
YIL097W,4.5
YIL098C,19.2
YIL099W,0.3
YIL101C,1.6
YIL102C,0
YIL102C-A,7.5
YIL103W,33.5
YIL104C,14.5
YIL105C,16
YIL105W-A,0
YIL106W,27.4
YIL107C,4.7
YIL108W,25.8
YIL109C,113.7
YIL110W,27.8
YIL111W,29.1
YIL112W,9
YIL113W,1.6
YIL114C,41.2
YIL115C,37.1
YIL116W,79
YIL117C,64.3
YIL118W,76.2
YIL119C,17.4
YIL120W,1.4
YIL121W,30.1
YIL122W,5
YIL123W,315.4
YIL124W,71.7
YIL125W,53.1
YIL126W,35.2
YIL127C,47.2
YIL128W,15.2
YIL129C,10.7
YIL130W,18.2
YIL131C,20.9
YIL132C,4.2
YIL133C,1513.5
YIL134C-A,3.2
YIL134W,5.8
YIL135C,23.4
YIL136W,7.8
YIL137C,42.1
YIL138C,128.4
YIL139C,5.5
YIL140W,27.5
YIL142W,153.1
YIL143C,17
YIL144W,10.9
YIL145C,51.5
YIL146C,1.7
YIL147C,8.4
YIL148W,3703.4
YIL149C,8.7
YIL150C,11.3
YIL151C,3.3
YIL152W,8
YIL153W,18.9
YIL154C,32.5
YIL155C,16.1
YIL156W,9.7
YIL156W-B,89.9
YIL157C,64.5
YIL158W,18
YIL159W,3.5
YIL160C,0.2
YIL161W,8.9
YIL162W,24.3
YIL163C,1.2
YIL164C,1.2
YIL165C,0.8
YIL166C,0.6
YIL169C,7.8
YIL172C,0.8
YIL173W,5.5
YIL176C,0
YIL177C,0.1
YIR001C,19.5
YIR002C,7.5
YIR003W,21.5
YIR004W,31.3
YIR005W,11
YIR006C,76.7
YIR007W,227.1
YIR008C,21.9
YIR009W,22.4
YIR010W,9.6
YIR011C,35.6
YIR012W,106.3
YIR013C,0.4
YIR014W,2.9
YIR015W,11.2
YIR016W,0.4
YIR017C,9.1
YIR018C-A,0
YIR018W,8.3
YIR019C,0
YIR020C,0
YIR021W,9.5
YIR021W-A,99.8
YIR022W,80.3
YIR023W,7.4
YIR024C,18.7
YIR025W,5.8
YIR026C,54.3
YIR027C,0.9
YIR028W,0.3
YIR029W,0.7
YIR030C,10.8
YIR031C,2.8
YIR032C,1.8
YIR033W,16
YIR034C,130.8
YIR035C,24.1
YIR036C,42.9
YIR037W,177.4
YIR038C,43.4
YIR039C,3
YIR041W,0.4
YIR042C,2.9
YJL001W,273.1
YJL002C,135.7
YJL003W,23.6
YJL004C,44.7
YJL005W,6.4
YJL006C,16.4
YJL008C,152.3
YJL010C,32.4
YJL011C,35.8
YJL012C,304.6
YJL013C,10.2
YJL014W,184.7
YJL016W,3.3
YJL019W,8
YJL020C,54.2
YJL023C,3.2
YJL024C,2072.6
YJL025W,2.6
YJL026W,287
YJL027C,0
YJL028W,0
YJL029C,44.1
YJL030W,16
YJL031C,26.7
YJL033W,42.8
YJL034W,442.2
YJL035C,8.8
YJL036W,16
YJL037W,0.9
YJL038C,0.9
YJL039C,27.5
YJL041W,90.5
YJL042W,14.2
