ORF,WT_1
YEL005C,4.5
YEL006W,11.7
YEL007W,39.5
YEL009C,32.1
YEL011W,3.4
YEL012W,20.3
YEL013W,68.3
YEL015W,34
YEL016C,5.4
YEL017C-A,1123.1
YEL017W,33.3
YEL018W,14.4
YEL019C,7.6
YEL020C,4.7
YEL020W-A,76
YEL021W,0.5
YEL022W,26
YEL023C,0
YEL024W,35.3
YEL025C,3.3
YEL026W,683.4
YEL027W,1172.8
YEL029C,13.6
YEL030W,0.6
YEL031W,143.7
YEL032W,24.2
YEL033W,1894.4
YEL034W,2769.8
YEL035C,0.2
YEL036C,35.8
YEL037C,138.8
YEL038W,52.4
YEL039C,5.4
YEL040W,221.1
YEL041W,2.1
YEL042W,109.8
YEL043W,13.3
YEL044W,36.4
YEL046C,346.8
YEL047C,119.2
YEL048C,24.3
YEL049W,0.3
YEL050C,23
YEL051W,243.2
YEL052W,15.2
YEL053C,11
YEL054C,2360.7
YEL055C,50.3
YEL056W,23.7
YEL057C,1.1
YEL058W,61.2
YEL059C-A,10.8
YEL060C,61.3
YEL061C,8.9
YEL062W,5.9
YEL063C,43
YEL064C,5.6
YEL065W,86.7
YEL066W,37.2
YEL067C,3.3
YEL068C,26
YEL069C,0.1
YEL070W,0.7
YEL071W,351.7
YEL072W,2.5
YEL073C,0.8
YEL075C,0.5
YEL076C,0.5
YEL076C-A,0
YEL077C,0.1
YER001W,33.8
YER002W,105
YER003C,246.9
YER004W,91.7
YER005W,10
YER006W,126.9
YER007C-A,159.2
YER007W,5.1
YER008C,14.6
YER009W,711.7
YER010C,22.2
YER011W,220.3
YER012W,182.4
YER013W,7.7
YER014C-A,0
YER014W,15.8
YER015W,1.7
YER016W,24.8
YER017C,18.7
YER018C,16.6
YER019C-A,293.9
YER019W,19.9
YER020W,14.5
YER021W,110.8
YER022W,23
YER023W,294.4
YER024W,0.7
YER025W,267.4
YER026C,137
YER027C,52.9
YER028C,7
YER029C,34.1
YER030W,88.9
YER031C,139.6
YER032W,10.4
YER033C,2.9
YER034W,24.1
YER035W,30.1
YER036C,270.6
YER037W,12.1
YER038C,3
YER038W-A,0.7
YER039C,1.2
YER039C-A,2.8
YER040W,8.4
YER041W,3.9
YER042W,109.3
YER043C,879.2
YER044C,83.7
YER044C-A,0.4
YER045C,4.4
YER046W,6.4
YER047C,6.8
YER048C,84.8
YER048W-A,119.8
YER049W,78.7
YER050C,71.3
YER051W,6.2
YER052C,88.6
YER053C,5.4
YER053C-A,0
YER054C,0.4
YER055C,305.9
YER056C,142.5
YER056C-A,2447.6
YER057C,245.5
YER058W,19.2
YER059W,13.4
YER060W,10.6
YER060W-A,15.4
YER061C,10.1
YER062C,79.3
YER063W,87.5
YER064C,65.1
YER065C,0.9
YER066W,5
YER067W,12.6
YER068W,33
YER069W,9.7
YER070W,163
YER071C,23.8
YER072W,1074.8
YER073W,129.6
YER074W,3461.9
YER074W-A,98.4
YER075C,8.7
YER076C,4.7
YER077C,6.6
YER078C,13.9
YER078W-A,14.4
YER079W,19.6
YER080W,61.9
YER081W,10.1
YER082C,38.6
YER083C,67.7
YER084W,1
YER085C,0
YER086W,132
YER087C-B,244.4
YER087W,10
YER088C,21.6
YER089C,66.6
YER090W,127.9
YER091C,478.8
YER092W,35.8
YER093C,4.9
YER093C-A,8.4
YER094C,154.9
YER095W,25.6
YER096W,0.7
YER098W,2.2
YER099C,38.2
YER100W,90.5
YER101C,7.8
YER102W,4233.5
YER103W,9
YER104W,9
YER105C,25.8
YER106W,0.2
YER107C,34.6
YER110C,254.9
YER111C,11.2
YER112W,76.8
YER113C,15.8
YER114C,22.5
YER115C,5.9
YER116C,9.9
YER117W,2927.4
YER118C,42.5
YER119C,19.6
YER120W,320.6
YER121W,2.9
YER122C,95.8
YER123W,19.4
YER124C,92
YER125W,86.1
YER126C,112.5
YER127W,41.8
YER128W,12.4
YER129W,6.1
YER130C,16.7
YER131W,1378.2
YER132C,4.9
YER133W,198.5
YER134C,44.4
YER136W,121
YER137C,8.7
YER138W-A,95.3
YER139C,12.1
YER140W,8.4
YER141W,36.1
YER142C,12.2
YER143W,26.7
YER144C,5.4
YER145C,150
YER146W,136.9
YER147C,4.5
YER148W,105.4
YER149C,18
YER150W,3.4
YER151C,39.7
YER152C,23.8
YER153C,13.4
YER154W,22.9
YER155C,25.8
YER156C,93.2
YER157W,13.5
YER158C,2.7
YER159C,54.3
YER161C,17.2
YER162C,4.5
YER163C,26.5
YER164W,17.4
YER165W,693.1
YER166W,21.9
YER167W,9.5
YER168C,26.6
YER169W,10.2
YER170W,15.1
YER171W,14.3
YER172C,10.4
YER173W,3.1
YER174C,30.3
YER175C,11.2
YER175W-A,2.5
YER176W,16.7
YER177W,846.4
YER178W,493.2
YER179W,0.8
YER180C,0
YER180C-A,616.8
YER182W,17.3
YER183C,31.7
YER184C,1.1
YER185W,0.3
YER186C,0.3
YER187W,0
YER188C-A,0.3
YER189W,0.3
YER190C-B,0.4
YER190W,0.4
YFL001W,14.3
YFL002C,19.3
YFL003C,0.3
YFL004W,126.5
YFL005W,174.9
YFL007W,24.5
YFL008W,14.8
YFL009W,18.7
YFL010C,213.8
YFL010W-A,0
YFL011W,0.1
YFL012W,0.6
YFL013C,16.5
YFL014W,2.5
YFL016C,41.1
YFL017C,40
YFL017W-A,77
YFL018C,165.2
YFL020C,3.3
YFL021W,11.2
YFL022C,230.8
YFL023W,16.2
YFL024C,7.1
YFL025C,7.7
YFL026W,166.5
YFL027C,9.4
YFL028C,35.3
YFL029C,11.8
YFL030W,0.4
YFL031W,7.8
YFL033C,4.6
YFL034C-A,218.3
YFL034C-B,29.6
YFL034W,7
YFL036W,11.4
YFL037W,257.8
YFL038C,340.7
YFL039C,2058.9
YFL040W,0
YFL041W,39
YFL041W-A,4
YFL042C,11.5
YFL044C,31.9
YFL045C,587.6
YFL046W,23.5
YFL047W,17.1
YFL048C,80.8
YFL049W,11.4
YFL050C,0.2
YFL051C,0
YFL052W,0.5
YFL053W,0.1
YFL054C,0.7
YFL055W,0.5
YFL058W,0.6
YFL059W,5
YFL060C,2.3
YFL061W,0.4
YFL062W,26.7
YFL064C,0.2
YFL065C,0.3
YFL066C,0
YFL067W,0
YFL068W,0.2
YFR001W,68.3
YFR002W,33.6
YFR003C,34.2
YFR004W,119.9
YFR005C,14.4
YFR006W,48.8
YFR007W,9.1
YFR008W,9.9
YFR009W,460.8
YFR010W,87.5
YFR011C,52.5
YFR012W,0.2
YFR012W-A,0
YFR013W,15.2
YFR014C,11.7
YFR015C,3.2
YFR016C,15.5
YFR017C,1.3
YFR018C,23.9
YFR019W,6.4
YFR020W,3.7
YFR021W,13.4
YFR022W,1.2
YFR023W,0.2
YFR024C-A,103.5
YFR025C,63.7
YFR026C,0.4
YFR027W,7.2
YFR028C,32.2
YFR029W,5.9
YFR030W,22.2
YFR031C,7.3
YFR031C-A,3161.9
YFR032C,0.5
YFR032C-A,3895
YFR032C-B,1.4
YFR033C,24.6
YFR034C,38.1
YFR035C,20.6
YFR036W,16.4
YFR037C,58.5
YFR038W,9.5
YFR039C,20.8
YFR040W,20
YFR041C,35.4
YFR042W,28.3
YFR043C,32.7
YFR044C,224.7
YFR045W,8.5
YFR046C,9.9
YFR047C,50.9
YFR048W,7.5
YFR049W,72.7
YFR050C,163.4
YFR051C,117.5
YFR052W,142.1
YFR053C,34.5
YFR055W,70.5
YFR057W,0
YGL001C,91.4
YGL002W,21.5
YGL003C,6.5
YGL004C,14.4
YGL005C,17.2
YGL006W,10.8
YGL006W-A,8.6
YGL007C-A,152
YGL008C,2374.6
YGL009C,526
YGL010W,12.3
YGL011C,186.1
YGL012W,205.6
YGL013C,13.4
YGL014W,32.3
YGL015C,0
YGL016W,23.8
YGL017W,12
YGL018C,17.8
YGL019W,57.2
YGL020C,69.8
YGL021W,18.3
YGL022W,92.9
YGL023C,15.3
YGL025C,17.8
YGL026C,223.2
YGL027C,52.7
YGL028C,89.3
YGL029W,65.8
YGL030W,2996.2
YGL031C,2382.2
YGL032C,73.9
YGL033W,0.5
YGL035C,25.5
YGL036W,10
YGL037C,133.6
YGL038C,28
YGL039W,57.2
YGL040C,108.7
YGL041C-B,0
YGL041W-A,34.7
YGL043W,81.3
YGL044C,31.1
YGL045W,2.5
YGL047W,17.4
YGL048C,130.6
YGL049C,37
YGL050W,21.5
YGL051W,10.1
YGL053W,13.4
YGL054C,249.1
YGL055W,174.2
YGL056C,28.7
YGL057C,11.9
YGL058W,89.6
YGL059W,3.7
YGL060W,15.1
YGL061C,17.3
YGL062W,78.6
YGL063W,1.8
YGL064C,9.3
YGL065C,30.8
YGL066W,13.7
YGL067W,32.7
YGL068W,115.6
YGL070C,92.6
YGL071W,14.6
YGL073W,11.7
YGL075C,5.7
YGL076C,3618.8
YGL077C,51.3
YGL078C,83.3
YGL079W,13.9
YGL080W,57.7
YGL081W,1.1
YGL082W,35.2
YGL083W,12.7
YGL084C,33.6
YGL085W,6.1
YGL086W,14.5
YGL087C,69.7
YGL089C,0
YGL090W,2.3
YGL091C,26.6
YGL092W,32.8
YGL093W,8.8
YGL094C,11.4
YGL095C,19.6
YGL096W,1.1
YGL097W,80.9
YGL098W,17.4
YGL099W,64.7
YGL100W,52.3
YGL101W,46.4
YGL103W,4510.7
YGL104C,6.8
YGL105W,467.9
YGL106W,220.9
YGL107C,16.8
YGL108C,19.4
YGL110C,12.9
YGL111W,43.8
YGL112C,36.3
YGL113W,3.2
YGL114W,11.8
YGL115W,60.2
YGL116W,13
YGL117W,4.1
YGL119W,17
YGL120C,79.3
YGL121C,3.2
YGL122C,58.9
YGL123W,3309.5
YGL124C,4
YGL125W,13.7
YGL126W,20.4
YGL127C,29.7
YGL128C,8.3
YGL129C,24.6
YGL130W,26.7
YGL131C,2.9
YGL133W,10.7
YGL134W,4.3
YGL135W,3690.1
YGL136C,3.6
YGL137W,166
YGL138C,0.2
YGL139W,23
YGL140C,15.3
YGL141W,10
YGL142C,13.1
YGL143C,8.2
YGL144C,3.9
YGL145W,14.7
YGL146C,1.3
YGL147C,3084.6
YGL148W,292.8
YGL150C,15.8
YGL151W,14.7
YGL153W,19.5
YGL154C,5
YGL155W,12.1
YGL156W,5.4
YGL157W,70.1
YGL158W,0.1
YGL159W,14.9
YGL160W,16.4
YGL161C,38.8
YGL162W,7.6
YGL163C,6.1
YGL164C,13.2
YGL166W,16.9
YGL167C,58.3
YGL168W,4.1
YGL169W,21.6
YGL170C,0.2
YGL171W,39.7
YGL172W,42.1
YGL173C,120.7
YGL174W,11
YGL175C,3
YGL176C,3
YGL178W,13
YGL179C,4.2
YGL180W,5
YGL181W,38.7
YGL183C,0.1
YGL184C,6
YGL185C,11.1
YGL186C,35.3
YGL187C,50.8
YGL188C-A,17.9
YGL189C,3188.2
YGL190C,31.3
YGL191W,122.5
YGL192W,0.1
YGL193C,5
YGL194C,15.5
YGL194C-A,18.1
YGL195W,86
YGL196W,21.9
YGL197W,11
YGL198W,60.6
YGL200C,260.9
YGL201C,18.7
YGL202W,264.8
YGL203C,41.9
YGL204C,25
YGL205W,0.3
YGL206C,140.5
YGL207W,103
YGL208W,6.5
YGL209W,21.8
YGL210W,31.7
YGL211W,17.7
YGL212W,16.4
YGL213C,44.8
YGL215W,21.8
YGL216W,9.7
YGL219C,16.8
YGL220W,69.4
YGL221C,92.1
YGL222C,35.6
YGL223C,18
YGL224C,20.8
YGL225W,280.8
YGL226C-A,172.5
YGL226W,22
YGL227W,8.5
YGL228W,57.1
YGL229C,3.2
YGL230C,21.8
YGL231C,103.6
YGL232W,61.8
YGL233W,15.9
YGL234W,227.6
YGL235W,0
YGL236C,6.2
YGL237C,8.6
YGL238W,48.9
YGL240W,8.4
YGL241W,12.4
YGL242C,81.1
YGL243W,8.4
YGL244W,48.4
YGL245W,455
YGL246C,24.2
YGL247W,10.2
YGL248W,11.4
YGL249W,0.2
YGL250W,6
YGL251C,0.5
YGL252C,27
YGL253W,1389.8
YGL254W,12.4
YGL255W,14.8
YGL256W,8.9
YGL257C,11.4
YGL258W,0.5
YGL258W-A,0
YGL259W,1.2
YGL260W,0
YGL261C,0.3
YGL262W,0
YGL263W,1.1
YGR001C,87.4
YGR002C,15.1
YGR003W,10
YGR004W,12
YGR005C,37
YGR006W,14.1
YGR007W,38.5
YGR008C,53.5
YGR009C,25.5
YGR010W,13.2
YGR012W,27
YGR013W,10.2
YGR014W,41.5
YGR015C,4.9
YGR016W,8.5
YGR017W,38.7
YGR018C,0
YGR019W,32.1
YGR020C,290.8
YGR021W,9.9
YGR023W,2.5
YGR024C,29.4
YGR026W,117.6
YGR027C,3394.3
YGR028W,14.4
YGR029W,36.6
YGR030C,23.2
YGR031C-A,0
YGR031W,16.8
YGR032W,7.4
YGR033C,32.8
YGR034W,2400.2
YGR035C,36.4
YGR035W-A,0
YGR036C,18.5
YGR037C,719
YGR038W,60
YGR040W,11.2
YGR041W,13.3
YGR042W,6.4
YGR043C,1.3
YGR044C,33.3
YGR046W,12.3
YGR047C,10.1
YGR048W,31.4
YGR049W,35.6
YGR050C,3.9
YGR052W,1
YGR053C,2
YGR054W,112
YGR055W,103.9
YGR056W,14.2
YGR057C,7.2
YGR058W,10.7
YGR059W,0.1
YGR060W,434.9
YGR061C,192.6
YGR062C,5.2
YGR063C,89.6
YGR065C,14.6
YGR066C,0.1
YGR067C,0.3
YGR068C,7.4
YGR070W,0.9
YGR071C,5.9
YGR072W,14
YGR074W,54
YGR075C,6
YGR076C,33
YGR077C,8.6
YGR078C,79.2
YGR079W,25.3
YGR080W,37.9
YGR081C,44.9
YGR082W,133.6
YGR083C,54.5
YGR084C,25.7
YGR085C,2685.1
YGR086C,385
YGR087C,7.2
YGR088W,1
YGR089W,10.1
YGR090W,41.4
YGR091W,7.7
YGR092W,21
YGR093W,16.5
YGR094W,314.4
YGR095C,33.6
YGR096W,3
YGR097W,11.8
YGR098C,4.3
YGR099W,6.8
YGR100W,9.1
YGR101W,16
YGR102C,14.7
YGR103W,149.3
YGR104C,13.8
YGR105W,167.4
YGR106C,297.8
YGR108W,14.3
YGR109C,12.4
YGR110W,0.9
YGR111W,26
YGR112W,6.5
YGR113W,17.7
YGR116W,62.3
YGR117C,19.5
YGR118W,2454.9
YGR119C,45.1
YGR120C,15.8
YGR121C,3.1
YGR121W-A,3.6
YGR122W,10.5
YGR123C,76.6
YGR124W,444.7
YGR125W,13.5
YGR126W,9.6
YGR127W,4.9
YGR128C,46.7
YGR129W,12.8
YGR130C,36.8
YGR131W,3.7
YGR132C,93.2
YGR133W,7.7
YGR134W,5.8
YGR135W,190.3
YGR136W,110.3
YGR138C,11.8
YGR140W,8.7
YGR141W,19.8
YGR142W,28.3
YGR143W,10.4
YGR144W,1.2
YGR145W,46.1
YGR146C,42.9
YGR146C-A,0
YGR147C,35.3
YGR148C,1810.8
YGR149W,7.5
YGR150C,5.6
YGR152C,41.5
YGR153W,5.1
YGR154C,0.2
YGR155W,502.1
YGR156W,22.6
YGR157W,71.9
YGR158C,35.2
YGR159C,275.3
YGR161C,29
YGR161W-C,10
YGR162W,157.1
YGR163W,27.2
YGR165W,28.3
YGR166W,11
YGR167W,169.9
YGR168C,3.7
YGR169C,7.2
YGR169C-A,65.1
YGR170W,6.2
YGR171C,5.4
YGR172C,84.6
YGR173W,73.6
YGR174C,12.6
YGR174W-A,1.6
YGR175C,325.6
YGR177C,24.4
YGR178C,67.2
YGR179C,8.1
YGR180C,597.6
YGR181W,101
YGR183C,52.9
YGR184C,20
YGR185C,285.3
YGR186W,39.4
YGR187C,61.3
YGR188C,2.9
YGR189C,169.5
YGR191W,59.6
YGR192C,26083.2
YGR193C,58.2
YGR194C,8.5
YGR195W,44.6
YGR196C,10.3
YGR197C,6.1
YGR198W,16.5
YGR199W,17.7
YGR200C,45.1
YGR201C,2.6
YGR202C,24.1
YGR203W,21.3
YGR204C-A,0
YGR204W,231.3
YGR205W,22.1
YGR206W,24.1
YGR207C,65.9
YGR208W,82.5
YGR209C,646.1
YGR210C,46.1
YGR211W,113.2
YGR212W,2.9
YGR213C,0.7
YGR214W,1855.6
YGR215W,67.4
YGR216C,6.9
YGR217W,4.2
YGR218W,89.3
YGR220C,38
YGR221C,3.4
YGR222W,10.8
YGR223C,9
YGR224W,0.1
YGR225W,0.2
YGR227W,21.4
YGR229C,68.1
YGR230W,8.9
YGR231C,114.3
YGR232W,61.9
YGR233C,27.7
YGR234W,637.6
YGR235C,42.6
YGR236C,0.3
YGR237C,9.8
YGR238C,3.4
YGR239C,10.3
YGR240C,574.9
YGR240C-A,13.5
YGR241C,19.5
YGR243W,3.2
YGR244C,52.4
YGR245C,51.8
YGR246C,17.4
YGR247W,17.9
YGR248W,1.4
YGR249W,0.3
YGR250C,13.3
YGR251W,20.2
YGR252W,14.4
YGR253C,176.1
YGR254W,6990.1
YGR255C,20.2
YGR256W,1.3
YGR257C,8.8
YGR258C,4.8
YGR260W,67.4
YGR261C,32.6
YGR262C,32.8
YGR263C,10
YGR264C,219.6
YGR266W,22.9
YGR267C,84.8
YGR268C,19.6
YGR270W,12.8
YGR271C-A,41.1
YGR271W,10.4
YGR273C,3.9
YGR274C,12.6
YGR275W,62.9
YGR276C,27
YGR277C,28.5
YGR278W,7.8
YGR279C,622.5
YGR280C,54
YGR281W,21.1
YGR282C,752.3
YGR283C,20.5
YGR284C,131.8
YGR285C,578.1
YGR286C,20.6
YGR287C,1.6
YGR288W,3.1
YGR289C,0.1
YGR292W,0.8
YGR294W,0.5
YGR295C,45.8
YGR296W,0.5
YHL001W,2571.8
YHL002W,23.7
YHL003C,67.6
YHL004W,35.8
YHL006C,4.2
YHL007C,26.1
YHL008C,7.7
YHL009C,15.6
YHL010C,3.6
YHL011C,143.1
YHL012W,0.1
YHL013C,30.8
YHL014C,9
YHL015W,3434.2
YHL015W-A,0
YHL016C,0.8
YHL017W,26.7
YHL018W,9.2
YHL019C,6.4
YHL020C,14.5
YHL021C,27
YHL022C,1.1
YHL023C,6.6
YHL024W,0.5
YHL025W,18.9
YHL026C,2.6
YHL027W,25.1
YHL028W,2.3
YHL029C,10.6
YHL030W,26.7
YHL031C,32.4
YHL032C,1.8
YHL033C,1821.4
YHL034C,336.1
YHL035C,2.8
YHL036W,2.1
YHL038C,5.9
YHL039W,29.9
YHL040C,23.9
YHL042W,1.9
YHL043W,0
YHL044W,2.6
YHL046C,1.8
YHL047C,26.5
YHL048C-A,0
YHL048W,21.1
YHL049C,0.4
YHL050C,0
YHR001W,38.7
YHR001W-A,44.8
YHR002W,4.6
YHR003C,27.2
YHR004C,5.4
YHR005C,49.8
YHR005C-A,343.7
YHR006W,15.9
YHR007C,402.1
YHR007C-A,53.5
YHR008C,146.3
YHR009C,35.2
YHR010W,2672.7
YHR011W,7.6
YHR012W,37
YHR013C,102.6
YHR014W,0.2
YHR015W,351.8
YHR016C,22
YHR017W,12.7
YHR018C,50
YHR019C,432.1
YHR020W,280.5
YHR021C,2964
YHR021W-A,1.9
YHR022C,0.6
YHR022C-A,0.8
YHR023W,12.3
YHR024C,33.7
YHR025W,224.9
YHR026W,261.8
YHR027C,135.9
YHR028C,31.1
YHR029C,38.2
YHR030C,30.8
YHR031C,5.5
YHR032W,25.9
YHR033W,0.2
YHR034C,13
YHR035W,2.1
YHR036W,9.5
YHR037W,49.3
YHR038W,17
YHR039C,55.3
YHR039C-A,585.2
YHR040W,10.5
YHR041C,26.1
YHR042W,139.4
YHR043C,34.5
YHR044C,13.5
YHR045W,17.8
YHR046C,35.1
YHR047C,54.9
YHR048W,1.3
YHR049W,99.7
YHR050W,20.2
YHR050W-A,100.2
YHR051W,85
YHR052W,91.6
YHR053C,753.8
YHR054C,18.9
YHR055C,753.8
YHR056C,18.9
YHR057C,54.6
YHR058C,24.9
YHR059W,32.2
YHR060W,37.9
YHR061C,12.3
YHR062C,27
YHR063C,79.5
YHR064C,563.3
YHR065C,51.1
YHR066W,41.4
YHR067W,8.4
YHR068W,260.7
YHR069C,29.7
YHR070W,27.3
YHR071W,21.9
YHR072W,26.6
YHR072W-A,453.2
YHR073W,16.1
YHR074W,52.4
YHR075C,5
YHR076W,37.2
YHR077C,12.6
YHR078W,7.3
YHR079C,5.8
YHR079C-A,0
YHR080C,1.2
YHR081W,46.9
YHR082C,19.4
YHR083W,28.8
YHR084W,18.6
YHR085W,23
YHR086W,13.6
YHR086W-A,0.5
YHR087W,12.9
YHR088W,52.5
YHR089C,249.7
YHR090C,14.6
YHR091C,4.8
YHR092C,23.8
YHR094C,133.6
YHR096C,7.9
YHR097C,12.5
YHR098C,53.3
YHR099W,14.5
YHR100C,28.8
YHR101C,14.4
YHR102W,9.9
YHR103W,17.4
YHR104W,80.3
YHR105W,8.8
YHR106W,7.2
YHR107C,67
YHR108W,99
YHR109W,8.2
YHR110W,43.6
YHR111W,26.7
YHR112C,18.9
YHR113W,42.1
YHR114W,20.3
YHR115C,22.6
YHR116W,14.6
YHR117W,36.3
YHR118C,10.4
YHR119W,8.7
YHR120W,5.7
YHR121W,70.8
YHR122W,35.3
YHR123W,39.3
YHR124W,0.5
YHR126C,0
YHR127W,33.3
YHR128W,246.7
YHR129C,6.2
YHR131C,4.4
YHR132C,81.4
YHR132W-A,50.5
YHR133C,87.7
YHR134W,4.7
YHR135C,50.9
YHR136C,118.4
YHR137W,13
YHR138C,25.7
YHR139C,0.1
YHR140W,4.4
YHR141C,3935.1
YHR142W,34.5
YHR143W,239.7
YHR143W-A,194.2
YHR144C,179.4
YHR146W,115.7
YHR147C,43.8
YHR148W,55.4
YHR149C,19.4
YHR150W,3.5
YHR151C,6.4
YHR152W,39.9
YHR153C,3.6
YHR154W,16.9
YHR155W,7.1
YHR156C,4.1
YHR157W,1.1
YHR158C,21.7
YHR159W,5.7
YHR160C,0
YHR161C,12.7
YHR162W,297.9
YHR163W,95.9
YHR164C,3.5
YHR165C,11.6
YHR166C,7.5
YHR167W,18.9
YHR168W,5.5
YHR169W,28.8
YHR170W,82.9
YHR171W,5.6
YHR172W,8.7
YHR173C,0.3
YHR174W,16714
YHR175W,143.8
YHR175W-A,24.5
YHR176W,1.7
YHR177W,0.6
YHR178W,5.1
YHR179W,628.6
YHR181W,77.2
YHR182W,3.8
YHR183W,670.4
YHR184W,1.5
YHR185C,0.3
YHR186C,27
YHR187W,21.1
YHR188C,41.6
YHR189W,5.2
YHR190W,143.5
YHR191C,20.8
YHR192W,21.9
YHR193C,1146.7
YHR194W,2.2
YHR195W,13.1
YHR196W,41.8
YHR197W,27.2
YHR198C,13.6
YHR199C,29.4
YHR199C-A,28.5
YHR200W,129.3
YHR201C,51.9
YHR202W,5.1
YHR203C,4003.7
YHR204W,5.5
YHR205W,35.6
YHR206W,19.7
YHR207C,18.2
YHR208W,513.9
YHR209W,5.2
YHR210C,0.8
YHR211W,0.4
YHR212W-A,0
YHR213W,0
YHR213W-A,0
YHR213W-B,0
YHR214C-D,0
YHR214C-E,0.9
YHR214W,21.2
YHR215W,735.4
YHR216W,81.6
YHR218W,0.4
YHR219W,0.1
YIL001W,5.7
YIL002C,6.3
YIL002W-A,101.3
YIL003W,14.7
YIL004C,39.5
YIL005W,36.5
YIL006W,1.8
YIL007C,10.5
YIL008W,106.5
YIL009C-A,1080.5
YIL009W,26
YIL010W,55
YIL011W,27.6
YIL013C,0.8
YIL014C-A,11.3
YIL014W,12.1
YIL015W,101.4
YIL016W,52
YIL017C,3.1
YIL018W,3997.7
YIL019W,24
YIL020C,37.9
YIL021W,78.2
YIL022W,58.4
YIL023C,19
YIL024C,3.1
YIL026C,12.7
YIL027C,79
YIL029C,2.9
YIL030C,41.1
YIL031W,4.5
YIL033C,64.7
YIL034C,73.1
YIL035C,56.5
YIL036W,22.5
YIL037C,0.1
YIL038C,40.1
YIL039W,55.7
YIL040W,54.5
YIL041W,189
YIL042C,16.3
YIL043C,219
YIL044C,42.9
YIL045W,5.6
YIL046W,7.9
YIL046W-A,2
YIL047C,18.9
YIL048W,13.7
YIL049W,13.5
YIL050W,22.7
YIL051C,1464.3
YIL052C,2845
YIL053W,1820
YIL054W,9.2
YIL055C,2.4
YIL056W,8.7
YIL057C,0.2
YIL060W,15.7
YIL061C,19.9
YIL062C,153.6
YIL063C,42
YIL064W,34
YIL065C,39.3
YIL066C,3.5
YIL067C,7.9
YIL068C,12.3
YIL069C,2733.2
YIL070C,65.7
YIL071C,3.3
YIL072W,0.6
YIL073C,0.1
YIL074C,74
YIL075C,124.6
YIL076W,127.5
YIL077C,7.4
YIL078W,464.2
YIL079C,21.4
YIL083C,35.3
YIL084C,15.4
YIL085C,17.7
YIL087C,13.5
YIL088C,33.8
YIL089W,1.9
YIL090W,16.5
YIL091C,26.5
YIL092W,3.3
YIL093C,27.8
YIL094C,139.4
YIL095W,9
YIL096C,20.8
YIL097W,4.1
YIL098C,22.4
YIL099W,0.1
YIL101C,1.3
YIL102C,0
YIL102C-A,14.5
YIL103W,24.2
YIL104C,13.4
YIL105C,15.2
YIL105W-A,1.1
YIL106W,28.2
YIL107C,6.3
YIL108W,20
YIL109C,101.3
YIL110W,33.5
YIL111W,35.1
YIL112W,9.6
YIL113W,2.8
YIL114C,30
YIL115C,32.5
YIL116W,54.5
YIL117C,39.9
YIL118W,67.8
YIL119C,15.8
YIL120W,1.1
YIL121W,19.4
YIL122W,2.2
YIL123W,363.4
YIL124W,70.4
YIL125W,57.6
YIL126W,31.1
YIL127C,46.4
YIL128W,15.4
YIL129C,8.8
YIL130W,17.3
YIL131C,22.4
YIL132C,5.2
YIL133C,1455.3
YIL134C-A,3.8
YIL134W,6.6
YIL135C,23.7
YIL136W,7.9
YIL137C,40.5
YIL138C,149.3
YIL139C,4.1
YIL140W,25.5
YIL142W,151.5
YIL143C,13.3
YIL144W,11
YIL145C,52.7
YIL146C,2.6
YIL147C,9.1
YIL148W,3654.1
YIL149C,8.7
YIL150C,7.8
YIL151C,3.8
YIL152W,4
YIL153W,16.6
YIL154C,19.8
YIL155C,9.5
YIL156W,9.6
YIL156W-B,87.4
YIL157C,38.2
YIL158W,22
YIL159W,3.7
YIL160C,0
YIL161W,12
YIL162W,30.1
YIL163C,0.3
YIL164C,1.1
YIL165C,0.5
YIL166C,0.8
YIL169C,9.3
YIL172C,1.7
YIL173W,3.7
YIL176C,0
YIL177C,0.3
YIR001C,26.8
YIR002C,6.5
YIR003W,20.3
YIR004W,34.1
YIR005W,16.6
YIR006C,66
YIR007W,188.9
YIR008C,23.6
YIR009W,19.5
YIR010W,8.1
YIR011C,27
YIR012W,80.7
YIR013C,0
YIR014W,5.3
YIR015W,9.8
YIR016W,0
YIR017C,8.2
YIR018C-A,0
YIR018W,13.5
YIR019C,0
YIR020C,0
YIR021W,10.1
YIR021W-A,115.1
YIR022W,89.5
YIR023W,8.3
YIR024C,13.7
YIR025W,6.2
YIR026C,41.5
YIR027C,0.4
YIR028W,0.5
YIR029W,0.6
YIR030C,3.6
YIR031C,1
YIR032C,1
YIR033W,20.9
YIR034C,47.5
YIR035C,25.1
YIR036C,38.4
YIR037W,203.9
YIR038C,47.5
YIR039C,1.5
YIR041W,0.7
YIR042C,1
YJL001W,176
YJL002C,141.1
YJL003W,24.2
YJL004C,36.2
YJL005W,9.4
YJL006C,14.3
YJL008C,172.1
YJL010C,37
YJL011C,36.4
YJL012C,329
YJL013C,14.9
YJL014W,162
YJL016W,4.1
YJL019W,10.8
YJL020C,46.4
YJL023C,3.3
YJL024C,2283.9
YJL025W,2.2
YJL026W,268.5
YJL027C,0
YJL028W,0
YJL029C,56.5
YJL030W,21.2
YJL031C,24
YJL033W,38.8
YJL034W,443.4
YJL035C,9.6
YJL036W,17.7
YJL037W,0.7
YJL038C,0.1
YJL039C,27
YJL041W,75.5
YJL042W,15.3
