# Created by: riboviz
# Date: 2025-09-09 21:53:34.507091
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/collate_tpms.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
ORF	eRF1Depletion_1	CHX_1
YDR103W	9	9.2
YDR104C	1.3	1.3
YDR105C	18.6	20.5
YDR106W	1.3	0.7
YDR107C	8	9.8
YDR108W	3.9	5.5
YDR109C	4.6	4.8
YDR110W	8.8	7.6
YDR111C	7.7	10.1
YDR113C	29.9	21.7
YDR114C	0.1	0.1
YDR115W	58.3	45.2
YDR116C	19	18.3
YDR117C	22.7	20.6
YDR118W	4.6	3.7
YDR119W	53.5	51.7
YDR119W-A	8.4	6.8
YDR120C	21.6	42.6
YDR121W	27.8	39.5
YDR122W	13.2	14
YDR123C	5.4	6.4
YDR124W	0.8	0.2
YDR125C	1.4	0.7
YDR126W	2.8	3.1
YDR127W	100.2	59.4
YDR128W	2.8	3.5
YDR129C	203.2	226.2
YDR130C	20	12.1
YDR131C	3.2	2.6
YDR132C	3.6	3.3
YDR135C	19.6	30.3
YDR137W	6.1	6.2
YDR138W	8.5	8.3
YDR139C	111.4	62.6
YDR140W	10.5	20.4
YDR141C	11.5	12.7
YDR142C	4.1	4.7
YDR143C	13.5	19.3
YDR144C	24.2	40.7
YDR145W	51.1	36
YDR146C	27.8	22.5
YDR147W	8.8	8.7
YDR148C	73.3	78.9
YDR150W	11.2	11.5
YDR151C	30.6	20.6
YDR152W	60.8	61.3
YDR153C	59	41.2
YDR155C	2331.5	3717.3
YDR156W	178.8	114
YDR158W	1052	369
YDR159W	3	3.1
YDR160W	0.9	1.4
YDR161W	61.1	58.9
YDR162C	24.5	22.7
YDR163W	35.3	21
YDR164C	6.7	9.3
YDR165W	35.7	49.1
YDR166C	9.6	10.9
YDR167W	51.1	48.8
YDR168W	120.5	86.9
YDR169C	16	14.9
YDR169C-A	0	0.2
YDR170C	38.7	59.5
YDR171W	37.9	30
YDR172W	277.2	280.5
YDR173C	8.1	8.3
YDR174W	141	155
YDR175C	20.5	19.3
YDR176W	9.9	10.4
YDR177W	194.4	133.7
YDR178W	55.1	53
YDR179C	10.2	7.4
YDR179W-A	2.9	2.2
YDR180W	4	5.3
YDR181C	4.7	4.3
YDR182W	24.2	29.5
YDR182W-A	8.6	4.6
YDR183W	7.8	13.3
YDR184C	10.5	17.1
YDR185C	6.3	3.8
YDR186C	10.3	11.2
YDR188W	135.1	205.8
YDR189W	34.7	36.1
YDR190C	93.3	117.8
YDR191W	7.1	4.8
YDR192C	24.5	23.1
YDR194C	22	27
YDR194W-A	0.2	0
YDR195W	18.6	13.2
YDR196C	21	18
YDR197W	4.9	4.3
YDR198C	5.3	6.6
YDR200C	5.7	5.9
YDR201W	21.2	17.7
YDR202C	10.3	8.1
YDR204W	20.5	17.2
YDR205W	8.2	9.5
YDR206W	7.3	9
YDR207C	10.7	12.2
YDR208W	19.5	18.1
YDR210W	565.3	330
YDR211W	44.3	44.1
YDR212W	141.1	170.9
YDR213W	7.1	9.5
YDR214W	194.5	205.4
YDR216W	1.2	0.8
YDR217C	8	8
YDR218C	0.2	0.1
YDR219C	10.7	8
YDR221W	16.7	16.1
YDR222W	28.1	18.3
YDR223W	0.9	0.3
YDR224C	1469.2	825.3
YDR225W	1506.7	1046.8
YDR226W	1033.3	996.8
YDR227W	6.3	6.1
YDR228C	13.5	11.3
YDR229W	14.5	15.2
YDR231C	22.6	17.3
YDR232W	58.2	70.8
YDR233C	383.2	420.9
YDR234W	40.4	38.1
YDR235W	8.6	6.9
YDR236C	19.5	15.3
YDR237W	16.7	20.5
YDR238C	76.9	95.1
YDR239C	11.8	10.2
YDR240C	6.9	7.5
YDR242W	1.2	0.4
YDR243C	6.3	7
YDR244W	16.8	14.2
YDR245W	37.6	44.9
YDR246W	19.4	17.8
YDR246W-A	5.5	3.2
YDR247W	3.2	4.2
YDR248C	11.9	16.7
YDR249C	3	2.7
YDR251W	11.9	14
YDR252W	33.7	13
YDR253C	1.2	1.7
YDR254W	3.3	3.8
YDR255C	2.7	3.6
YDR256C	0.1	0.1
YDR257C	22.3	13.4
YDR258C	67.3	45.3
YDR259C	1.5	1.2
YDR260C	24.8	18.6
YDR261C	19.9	30.2
YDR262W	38.6	26.9
YDR263C	0.3	0.5
YDR264C	28.4	47.4
YDR265W	6	6
YDR266C	25.7	25.2
YDR267C	21.4	22.3
YDR268W	12.2	9.4
YDR270W	4.7	6.3
YDR272W	66	70.5
YDR273W	0.6	1
YDR275W	2.6	3.4
YDR276C	1239	1017.8
YDR277C	3.3	3.5
YDR279W	9.8	12.6
YDR280W	47.4	41
YDR281C	25.2	33.3
YDR282C	4.7	3.5
YDR283C	3.7	5.4
YDR284C	36.1	38.7
YDR285W	1.1	0.7
YDR286C	18.4	11.8
YDR287W	10.9	12.8
YDR288W	5.6	6.9
YDR289C	17	17.1
YDR291W	2.2	3.2
YDR292C	29.6	30.6
YDR293C	25.3	28.5
YDR294C	33	40.6
YDR295C	7.1	7.6
YDR296W	28.2	33.9
YDR297W	42	63.2
YDR298C	129.7	104.2
YDR299W	33.8	39.7
YDR300C	30.7	46.6
YDR301W	7	7.5
YDR302W	16	30.6
YDR303C	15.3	15.6
YDR304C	94.2	252.4
YDR305C	24	19
YDR306C	6.4	4.2
YDR307W	12.1	14.4
YDR308C	32	33.6
YDR309C	64.6	62.1
YDR310C	8.8	9.9
YDR311W	16.4	15.8
YDR312W	24.9	24
YDR313C	7	5.5
YDR314C	1	0.9
YDR315C	2.3	2
YDR316W	3.9	4.6
YDR317W	1.3	1.6
YDR318W	3.3	3.6
YDR319C	6.1	7.7
YDR320C	27.9	23.1
YDR320C-A	47.7	35
YDR321W	120.6	192.4
YDR322C-A	79.1	78.6
YDR322W	18.8	16.1
YDR323C	4.5	4.7
YDR324C	29	31.2
YDR325W	4.7	6.1
YDR326C	5.4	9.6
YDR328C	109.8	169.3
YDR329C	14.4	13.6
YDR330W	26.7	22.3
YDR331W	25	26.5
YDR332W	2.2	2.3
YDR333C	16	15.2
YDR334W	2.5	3
YDR335W	14.1	18.9
YDR336W	2.8	2.9
YDR337W	22.3	22.8
YDR338C	5	4.5
YDR339C	71.9	52.3
YDR341C	278.2	259.3
YDR342C	105.2	108
YDR343C	100.7	104.7
YDR345C	97.5	186.5
YDR346C	71.8	96.6
YDR347W	15.8	18.3
YDR348C	39.8	39.9
YDR349C	12	13.8
YDR350C	2.1	2.2
YDR351W	12.6	9.4
YDR352W	21.8	20.6
YDR353W	487.6	437.9
YDR354W	87.1	32.7
YDR356W	17.2	12.3
YDR357C	13.1	15.1
YDR358W	16	11.1
YDR359C	5.3	5.3
YDR361C	67	75.1
YDR362C	6.2	7.3
YDR363W	5.4	5.4
YDR363W-A	344.4	181.3
YDR364C	6	7
YDR365C	50.3	46.1
YDR366C	4.4	1.7
YDR367W	19.2	27.9
YDR368W	45.5	131.8
YDR369C	2.8	3.2
YDR370C	5.6	4.9
YDR371W	5.1	7.3
YDR372C	51.6	56.2
YDR373W	27	54.5
YDR374C	0.4	0.1
YDR374W-A	18.2	10.5
YDR375C	6.5	7.6
YDR376W	6.9	10.8
YDR377W	198.7	143.1
YDR378C	68.2	112.6
YDR379C-A	14.8	7.8
YDR379W	6	6.3
YDR380W	70	46.5
YDR381C-A	12.4	7.9
YDR381W	531	469.4
YDR382W	4210.5	4041.2
YDR383C	7	5.2
YDR384C	117.4	132.8
YDR385W	1738.8	2705.8
YDR386W	2.9	2.8
YDR387C	2.7	2.5
YDR388W	106.9	131.5
YDR389W	11.6	12.3
YDR390C	46	20.3
YDR391C	18.5	12.7
YDR392W	12.4	12.8
YDR393W	3.9	4.3
YDR394W	109.8	90
YDR395W	57.6	72.5
YDR397C	54.7	63.8
YDR398W	33.8	41.3
YDR399W	111.2	216
YDR400W	23.4	27
YDR402C	0	0.1
YDR403W	0.3	0.4
YDR404C	60.5	59.8
YDR405W	25	22.8
YDR406W	1	1.2
YDR407C	4.3	5.8
YDR408C	90.3	92.4
YDR409W	4.1	4.5
YDR410C	14.9	20.6
YDR411C	24.2	38.1
YDR412W	44.7	48
YDR414C	7.8	10.5
YDR415C	20.3	17.6
YDR416W	5.8	6.7
YDR418W	3453	3626.1
YDR419W	4	4.5
YDR420W	2.6	3.3
YDR421W	2.6	3.5
YDR422C	8.2	11.6
YDR423C	25.9	24.4
YDR424C	90.6	81.4
YDR425W	6.5	6.2
YDR427W	110.1	83.5
YDR428C	14.9	17.7
YDR429C	404.9	339.8
YDR430C	11.8	14.6
YDR432W	701.9	746.3
YDR434W	20.5	27.9
YDR435C	8.7	9.5
YDR436W	4.9	5.3
YDR437W	11.2	7.8
YDR438W	0.3	0.1
YDR439W	4	3.8
YDR440W	5.9	6.9
YDR441C	15.1	23.2
YDR443C	2.5	4.2
YDR444W	3.5	3.4
YDR446W	0.2	0.2
YDR447C	2833.4	1954.1
YDR448W	12.1	14.3
YDR449C	21.6	25.9
YDR450W	3083.4	2737.1
YDR451C	42.8	36.2
YDR452W	17.6	25.4
YDR453C	4.8	4.2
YDR454C	275.7	349.7
YDR456W	12.6	17.8
YDR457W	8.8	11.8
YDR458C	12.9	11.1
YDR459C	2.4	2.5
YDR460W	23.2	16.9
YDR461C-A	44.2	35.7
YDR461W	867.9	769.1
YDR462W	71.3	43.2
YDR463W	49.3	31
YDR464W	5.2	8.6
YDR465C	36	49.7
YDR466W	4.1	5.1
YDR468C	36.9	35.5
YDR469W	32.3	20.5
YDR470C	10.3	9.6
YDR471W	1574	1215.5
YDR472W	22.3	23.3
YDR473C	8.3	8
YDR475C	2.8	3.6
YDR476C	36.7	31.9
YDR477W	28.2	28.7
YDR478W	11.1	10.7
YDR479C	4.7	4.9
YDR480W	10.5	11.7
YDR481C	90.8	122.3
YDR482C	42	30.9
YDR483W	98.1	120
YDR484W	7.6	7.1
YDR485C	8.9	8.4
YDR486C	50.1	47.2
YDR487C	210.5	140.6
YDR488C	6.6	6.3
YDR489W	10.9	10.1
YDR490C	7.9	8.8
YDR492W	41.1	29
YDR493W	47.9	22.1
YDR494W	11.8	12.9
YDR495C	3.9	3.7
YDR496C	63.9	64.1
YDR497C	24.1	80.7
YDR498C	10.3	12
YDR499W	3.6	3.3
YDR500C	2389.6	2432.6
YDR501W	4.5	4.1
YDR502C	114.2	244
YDR503C	14.1	11.1
YDR504C	8	7.8
YDR505C	20.2	18.8
YDR506C	52.7	81.4
YDR507C	22.4	25.4
YDR508C	69.1	123.9
YDR510W	519.3	490
YDR511W	39.6	20.2
YDR512C	26.8	22.5
YDR513W	161	127.2
YDR514C	8.9	9.7
YDR515W	14.6	9.6
YDR516C	31.4	36.5
YDR517W	45.7	48.5
YDR518W	25.2	38.7
YDR519W	100.6	92.9
YDR520C	3.3	3.6
YDR522C	0.1	0.1
YDR523C	0.2	0.1
YDR524C	3.9	6
YDR524C-B	7240.6	5859
YDR524W-C	0.7	0
YDR525W-A	93.1	73.6
YDR527W	28.5	21.4
YDR528W	6.5	8.1
YDR529C	119.1	131.2
YDR530C	15.7	11.5
YDR531W	19.8	21.6
YDR532C	6.2	5.3
YDR533C	21.7	18.5
YDR534C	0.6	0.8
YDR536W	0.1	0
YDR538W	7.3	7.6
YDR539W	13.9	19.1
YDR540C	3.3	2.9
YDR541C	1.9	3.8
YDR542W	0.1	0
YDR545W	0.2	0.2
YEL001C	159.5	138.1
YEL002C	115.6	118.7
YEL003W	97.3	72.4
YEL004W	7.3	6.2
YEL005C	3.3	2.5
YEL006W	8	8.5
YEL007W	26.6	27.1
YEL009C	141.8	17.5
YEL011W	3.2	4.1
YEL012W	14.5	16.6
YEL013W	51.8	59.1
YEL015W	34.3	38.3
YEL016C	3.1	4.2
YEL017C-A	1316.5	1202.9
YEL017W	40.2	28.7
YEL018W	16.8	11.6
YEL019C	5.7	4.8
YEL020C	3.9	4.5
YEL020W-A	132.6	66.5
YEL021W	0.4	33.8
YEL022W	10.9	17.8
YEL023C	0.1	0.1
YEL024W	49	61.4
YEL025C	1.3	1.6
YEL026W	656.9	689.5
YEL027W	1020.3	1525
YEL029C	11.7	10
YEL030W	2.2	1.5
YEL031W	86.4	121
YEL032W	16.6	21.9
YEL033W	2681	4122.6
YEL034W	3250.1	3379.3
YEL035C	0	0
YEL036C	24.6	29.5
YEL037C	169.8	192.9
YEL038W	24.9	51.1
YEL039C	14.2	13
YEL040W	224.4	211.8
YEL041W	1.2	1.8
YEL042W	64.7	111.7
YEL043W	5.4	9.2
YEL044W	75.7	51.8
YEL046C	631.8	347.7
YEL047C	77.9	85
YEL048C	21.3	15.9
YEL049W	0.2	0.1
YEL050C	15.1	18.4
YEL051W	200.8	237.7
YEL052W	15.6	16.8
YEL053C	6	7.1
YEL054C	2444.8	2802.8
YEL055C	27.7	36.6
YEL056W	16.2	18.1
YEL057C	0.7	0.3
YEL058W	68.9	71
YEL059C-A	11.5	8
YEL060C	46.4	57.5
YEL061C	5.1	6.1
YEL062W	3.8	4
YEL063C	61.4	46
YEL064C	2.6	5.3
YEL065W	33.5	48.9
YEL066W	41.5	37.6
YEL067C	1	1.2
YEL068C	19.8	13.7
YEL069C	0	0
YEL070W	0.3	0.9
YEL071W	316.4	256.1
YEL072W	0.7	1.1
YEL073C	0.6	0.8
YEL075C	0.3	0.1
YEL076C	0.3	0.2
YEL076C-A	0	0
YEL077C	0.1	0.1
YER001W	52.8	38
YER002W	108.8	96.6
YER003C	179.2	223
YER004W	86.1	77.5
YER005W	4.2	7.5
YER006W	127.2	99.5
YER007C-A	113.1	152.9
YER007W	2.9	2.2
YER008C	11.6	13.2
YER009W	814	558.9
YER010C	20.1	18.6
YER011W	61.3	117
YER012W	143.7	124.1
YER013W	5.4	6.3
YER014C-A	0	0
YER014W	8.2	13.5
YER015W	0.5	0.9
YER016W	24.3	24.9
YER017C	13.3	15.9
YER018C	20.6	15
YER019C-A	121.7	254
YER019W	16.8	22.2
YER020W	20.9	20.9
YER021W	113.1	99.7
YER022W	18.6	21.8
YER023W	188.5	277.2
YER024W	1.8	0.5
YER025W	344.8	376.9
YER026C	126.4	118
YER027C	68.5	68.9
YER028C	4.1	4.6
YER029C	37.3	25.7
YER030W	107.6	111.6
YER031C	77.4	131.6
YER032W	8.3	8.3
YER033C	2.1	2.3
YER034W	25	24.3
YER035W	134.2	64.8
YER036C	167.6	227.9
YER037W	13.2	9
YER038C	2.1	2.5
YER038W-A	0.5	0.1
YER039C	2.3	0.5
YER039C-A	7	2.1
YER040W	12.5	7
YER041W	2.1	2.1
YER042W	57.6	74.6
YER043C	602.8	838.8
YER044C	42.8	60.5
YER044C-A	0.1	0.1
YER045C	4.2	4.5
YER046W	4.4	4.8
YER047C	5.1	4.3
YER048C	102.8	111
YER048W-A	186.6	75.1
YER049W	57.4	63.4
YER050C	73.9	55.3
YER051W	2.7	4.1
YER052C	416.7	74.1
YER053C	12	8
YER053C-A	17.6	4
YER054C	0.3	0.4
YER055C	503.3	305.3
YER056C	153.1	209.2
YER056C-A	2588.3	2430.3
YER057C	344.7	254.8
YER058W	10.7	10.7
YER059W	20.8	17.3
YER060W	3.6	6.1
YER060W-A	18.5	24.2
YER061C	7.5	8.4
YER062C	68.8	77.5
YER063W	117.9	87
YER064C	53	39.1
YER065C	0.8	0.6
YER066W	5	8.9
YER067W	26.7	12.3
YER068W	35.4	28.2
YER069W	53	5
YER070W	78	127.8
YER071C	33.9	21.9
YER072W	883.2	1355.1
YER073W	340.5	112
YER074W	4599.7	4167.1
YER074W-A	95.4	98.4
YER075C	4.5	5.2
YER076C	3.9	4.2
YER077C	3.7	3.7
YER078C	6.5	8.3
YER078W-A	8.8	7.6
YER079W	28.2	15
YER080W	36.9	40.7
YER081W	12.4	9.4
YER082C	29.5	33.9
YER083C	90.9	77.5
YER084W	0.9	0.5
YER085C	0.3	0.1
YER086W	119.7	102.1
YER087C-B	291.8	273.3
YER087W	6.9	6.3
YER088C	23.3	29
YER089C	43.8	53.3
YER090W	265.9	118.5
YER091C	246.8	383.4
YER092W	54.4	41.1
YER093C	2.1	2.5
YER093C-A	10.3	6.3
YER094C	167.9	171.7
YER095W	35.1	38.3
YER096W	1.8	1.1
YER098W	0.9	1.1
YER099C	49.4	43.2
YER100W	106	82.8
YER101C	9.5	9
YER102W	4711.1	4273.9
YER103W	19.7	14.2
YER104W	16.1	10.1
YER105C	12.4	15.2
YER106W	0.1	0.1
YER107C	29.7	37.8
YER110C	170.4	298.4
YER111C	5.1	6.8
YER112W	96.1	57.3
YER113C	6	9.4
YER114C	21.8	28.8
YER115C	4.8	4.5
YER116C	12.2	9.9
YER117W	3477.5	3498.2
YER118C	22.1	29.6
YER119C	15.2	19.1
YER120W	409.2	426.9
YER121W	1	1
YER122C	117.4	104.6
YER123W	11.7	10.5
YER124C	79.6	64.2
YER125W	65.8	68.1
YER126C	82.1	105.3
YER127W	30.9	41.2
YER128W	12.4	8.8
YER129W	4.2	4.3
YER130C	8.3	7.1
YER131W	1982.2	1818.4
YER132C	1.3	2.2
YER133W	182.9	157.3
YER134C	37.3	29.9
YER136W	92.7	106.5
YER137C	4.3	6.2
YER138W-A	116.7	36.2
YER139C	14.6	10.7
YER140W	4.2	4.9
YER141W	38.1	40
YER142C	7.1	7
YER143W	35.1	30.4
YER144C	3.2	3.2
YER145C	113.6	260.8
YER146W	162.2	117.7
YER147C	5.5	6
YER148W	89.4	105.7
YER149C	9.8	11.5
YER150W	6.6	6.9
YER151C	31.5	41.6
YER152C	16.6	20
YER153C	12.4	12.1
YER154W	15.5	23.8
YER155C	9	14.1
YER156C	129.3	103
YER157W	9	8.6
YER158C	5.1	2.8
YER159C	65.6	54.7
YER161C	19.4	21.5
YER162C	5	4.3
YER163C	12.5	17.3
YER164W	13.6	16
YER165W	859.1	837.1
YER166W	9.9	16.6
YER167W	8.6	7.7
YER168C	15.9	22
YER169W	6.2	6.6
YER170W	19.8	11.9
YER171W	8.4	9.2
YER172C	8.4	9.3
YER173W	1.7	1.7
YER174C	21.6	26.1
YER175C	47.9	6.9
YER175W-A	2	0.1
YER176W	8.7	11.5
YER177W	1142.4	1098.4
YER178W	416.6	502.8
YER179W	0.4	0.8
YER180C	0.1	0.1
YER180C-A	277.8	166.4
YER182W	16.1	15.3
YER183C	23.8	20.1
YER184C	0.7	0.8
YER185W	0.6	0.3
YER186C	0.5	0.4
YER187W	0.1	0.1
YER188C-A	0.3	0.3
YER189W	0.2	0.4
YER190C-B	0.7	0.2
YER190W	0.1	0.2
YFL001W	10.7	11.3
YFL002C	14.3	17.7
YFL003C	0.2	0.2
YFL004W	107	108.5
YFL005W	169.4	172.3
YFL007W	10.9	14.1
YFL008W	11.9	12.4
YFL009W	15.3	23.1
YFL010C	386.5	378.9
YFL010W-A	0.1	0
YFL011W	0.2	0.1
YFL012W	0.2	0.3
YFL013C	22.1	17.3
YFL014W	25.4	127.7
YFL016C	33.5	29.4
YFL017C	38.1	51.4
YFL017W-A	34.7	61.5
YFL018C	73.5	141
YFL020C	0.4	0.4
YFL021W	10.7	10.2
YFL022C	265.2	280.2
YFL023W	14.6	18.7
YFL024C	4.5	4
YFL025C	3.6	4.8
YFL026W	140.7	181.9
YFL027C	4.4	5.3
YFL028C	18.5	24
YFL029C	10.5	9.6
YFL030W	0.8	0.8
YFL031W	24.7	12.3
YFL033C	4	3.6
YFL034C-A	604.7	157.1
YFL034C-B	35.5	25
YFL034W	8.1	9.1
YFL036W	6.8	9
YFL037W	148.7	218.2
YFL038C	275.2	326.3
YFL039C	1589	1972.6
YFL040W	0	0
YFL041W	20.5	32.1
YFL041W-A	1.3	3.1
YFL042C	10.6	9.1
YFL044C	41.5	26.7
YFL045C	434.9	613.7
YFL046W	20.5	16.2
YFL047W	10.6	12.6
YFL048C	54.3	64.5
YFL049W	11.2	9.1
YFL050C	0.2	0.3
YFL051C	0	0
YFL052W	0.2	0.3
YFL053W	0.1	0.1
YFL054C	0.8	1.2
YFL055W	0.5	0.5
YFL058W	1.8	0.7
YFL059W	3.1	4.4
YFL060C	1.5	1.2
YFL061W	0.5	0.1
YFL062W	22.1	24.9
YFL064C	0.1	0.1
YFL065C	0.6	0.4
YFL066C	0.2	0.1
YFL067W	0.1	0
YFL068W	0	0
YFR001W	50.5	46.3
YFR002W	23.7	24.5
YFR003C	87.1	58.1
YFR004W	154.3	104.7
YFR005C	12.6	12.3
YFR006W	53.2	53.3
YFR007W	7.1	7.9
YFR008W	15.2	10.3
YFR009W	511.2	252
YFR010W	88.8	92.5
YFR011C	35.8	30.1
YFR012W	0.1	0.1
YFR012W-A	0.7	0.3
YFR013W	12.5	13
YFR014C	11.3	13.2
YFR015C	6.8	6.2
YFR016C	23	25.8
YFR017C	4.5	4.4
YFR018C	11.9	16.3
YFR019W	2.7	3.6
YFR020W	4.1	3.6
YFR021W	11.1	14.8
YFR022W	0.8	0.8
YFR023W	0.2	0
YFR024C-A	76.4	83.1
YFR025C	285.6	146.2
YFR026C	0.1	0
YFR027W	4.9	7.3
YFR028C	19.7	23.9
YFR029W	3.9	4.5
YFR030W	10.4	9.1
YFR031C	3.4	4.1
YFR031C-A	3743.3	3563.6
YFR032C	0.6	0.5
YFR032C-A	4325.6	3321.9
YFR032C-B	2.9	2.5
YFR033C	47.2	47.8
YFR034C	60.3	59.5
YFR035C	73.9	86.2
YFR036W	36.4	23.9
YFR037C	80	77.6
YFR038W	7.8	10.5
YFR039C	11.9	14
YFR040W	9.8	12.5
YFR041C	29.3	28.1
YFR042W	21.2	20
YFR043C	34.3	38.5
YFR044C	190.8	280.7
YFR045W	10.8	7.9
YFR046C	9.6	7.9
YFR047C	35.2	48
YFR048W	6.6	6.8
YFR049W	105.9	63.8
YFR050C	192	118.7
YFR051C	60.4	82.9
YFR052W	115.4	99.7
YFR053C	47.6	56.7
YFR055W	47.8	42.4
YFR057W	0.1	0
YGL001C	59.3	69
YGL002W	22	15.6
YGL003C	7.2	6.9
YGL004C	6.7	8
YGL005C	10.5	9.3
YGL006W	4.9	7
YGL006W-A	4.2	2.5
YGL007C-A	25.6	10
YGL008C	1701	2908.2
YGL009C	936.4	465.4
YGL010W	12.8	10.2
YGL011C	185	144.9
YGL012W	111.4	170.3
YGL013C	10.1	9.5
YGL014W	24.9	33.1
YGL015C	0.2	0.2
YGL016W	13.2	18.8
YGL017W	7.5	8.5
YGL018C	15.9	13.1
YGL019W	55.5	58.4
YGL020C	45.4	49.8
YGL021W	13.9	11.5
YGL022W	56.7	96.2
YGL023C	16.6	17.1
YGL025C	23.3	18
YGL026C	499.1	255.5
YGL027C	21.2	41.2
YGL028C	142.3	130.7
YGL029W	59.2	47.5
YGL030W	4286.2	3917.7
YGL031C	2757	2612.1
YGL032C	161.1	94.8
YGL033W	1.9	0.9
YGL035C	36.8	34.2
YGL036W	5.5	7.2
YGL037C	173.1	155.3
YGL038C	30.8	23.6
YGL039W	25.3	45.9
YGL040C	94.1	92.1
YGL041C-B	0.5	0
YGL041W-A	28	24.1
YGL043W	118	91.2
YGL044C	41.5	32.1
YGL045W	2.4	2.5
YGL047W	16.1	16.6
YGL048C	135	139.1
YGL049C	43.4	46.2
YGL050W	112.8	83
YGL051W	15.9	10.1
YGL053W	19	12.6
YGL054C	255.9	183.6
YGL055W	124.9	188.3
YGL056C	39	31.1
YGL057C	10.3	10.4
YGL058W	93	91.7
YGL059W	7.2	2.1
YGL060W	11.8	12.7
YGL061C	14.9	16.2
YGL062W	35.6	37.1
YGL063W	3.3	2.4
YGL064C	7	6.5
YGL065C	11	19.6
YGL066W	23.3	16
YGL067W	11.2	19.9
YGL068W	101.7	77.3
YGL070C	160.1	78.8
YGL071W	8.8	9.9
YGL073W	11.5	11.2
YGL075C	4.7	4.7
YGL076C	3948.2	3936.9
YGL077C	36	67.3
YGL078C	74.6	81.5
YGL079W	9.3	13.3
YGL080W	52.4	50.3
YGL081W	1.5	1
YGL082W	27.3	28.8
YGL083W	4	6.6
YGL084C	18.4	25
YGL085W	2.5	3.6
YGL086W	10.7	10.3
YGL087C	90.6	71.2
YGL089C	0.1	0
YGL090W	1.8	1.4
YGL091C	26.4	26
YGL092W	22.4	29.7
YGL093W	11.5	9.2
YGL094C	2.2	4.4
YGL095C	6.3	11.8
YGL096W	1.3	1
YGL097W	51.3	70
YGL098W	14.3	14.4
YGL099W	44.7	53
YGL100W	29.3	36.5
YGL101W	59	36.4
YGL103W	4516.6	4720.9
YGL104C	2.6	2.6
YGL105W	499.5	564.4
YGL106W	324.8	320.4
YGL107C	8.5	9.8
YGL108C	19.1	13.4
YGL110C	10.4	10.7
YGL111W	34.4	38.9
YGL112C	30.4	30.8
YGL113W	1.4	1.6
YGL114W	9.4	10.6
YGL115W	41.7	47.8
YGL116W	10.5	14.1
YGL117W	39.9	2.7
YGL119W	11.9	12.1
YGL120C	63	82.6
YGL121C	1.8	0.8
YGL122C	128.3	88.1
YGL123W	2605.2	3262.9
YGL124C	5.1	4.4
YGL125W	20.9	10.3
YGL126W	16.4	19.6
YGL127C	36.4	32.2
YGL128C	6	7
YGL129C	12.9	12.4
YGL130W	32.3	29.4
YGL131C	1.1	1.4
YGL133W	4.7	6.2
YGL134W	2	3.2
YGL135W	4310.4	3989.8
YGL136C	2.4	2.4
YGL137W	84.8	130.1
YGL138C	0.1	0
YGL139W	11	16.3
YGL140C	4.9	11.3
YGL141W	7.1	5.9
YGL142C	7.2	8.1
YGL143C	3.6	4.3
YGL144C	1.6	2.7
YGL145W	9.4	12.2
YGL146C	0.6	0.5
YGL147C	2685.9	2644.4
YGL148W	410.7	298.2
YGL150C	7	9.1
YGL151W	8.6	10.3
YGL153W	28.3	22.7
YGL154C	3.9	2.3
YGL155W	9.4	10.9
YGL156W	0.9	1.4
YGL157W	49.9	51.3
YGL158W	0.2	0
YGL159W	10.1	10.7
YGL160W	7.9	11
YGL161C	45.7	43.6
YGL162W	7.7	6.7
YGL163C	5.9	5.8
YGL164C	8.8	11.3
YGL166W	27.3	19.3
YGL167C	23.2	37.9
YGL168W	2.5	2.5
YGL169W	11.2	13.7
YGL170C	0.1	0
YGL171W	34.3	40.9
YGL172W	32.7	49.5
YGL173C	64.4	74
YGL174W	13.5	10.2
YGL175C	1	1.6
YGL176C	1.2	1.6
YGL178W	6.7	8.9
YGL179C	2.1	2.6
YGL180W	4.1	3.8
YGL181W	54.6	42.6
YGL183C	0.8	0.3
YGL184C	16.3	3
YGL185C	8.2	8.7
YGL186C	52.1	47.3
YGL187C	129.5	97.8
YGL188C-A	22.8	11.6
YGL189C	4292.4	4000.8
YGL190C	16.4	19.8
YGL191W	152.5	161.2
YGL192W	0	0
YGL193C	3.9	2.4
YGL194C	12.8	12.3
YGL194C-A	21.8	16.4
YGL195W	58.3	79.6
YGL196W	18.2	13.9
YGL197W	4.9	6.9
YGL198W	47.2	57.5
YGL200C	181.9	230.4
YGL201C	18.2	22.9
YGL202W	326.5	245.2
YGL203C	24.5	31
YGL204C	14.8	13.5
YGL205W	0.2	0.1
YGL206C	114.7	127.7
YGL207W	90.5	92.8
YGL208W	15	10.5
YGL209W	11.8	16.8
YGL210W	29.9	25.8
YGL211W	12.3	16.4
YGL212W	21.2	17
YGL213C	35.6	40.4
YGL215W	11.2	12.5
YGL216W	6.4	6.9
YGL219C	14.5	10.3
YGL220W	63.6	99.6
YGL221C	56.9	73.6
YGL222C	55.9	36.1
YGL223C	13.9	12.9
YGL224C	24.9	16.7
YGL225W	189.2	236.6
YGL226C-A	170.4	108.2
YGL226W	25	14.3
YGL227W	4.3	4.9
YGL228W	44.2	49.6
YGL229C	1.2	1.3
YGL230C	14.3	12.6
YGL231C	102.6	75.5
YGL232W	38.4	37.7
